"","Tar","Item","Condition","Completion","Part","Cloze","Cloze_Balanced","Association_Noun","Association_Verb","Association_MainVerb","article","target","context"
"331","Bogen",83,"C","und feuert den Pfeil ab.",0,0.08,0,7,2.1,1.2,"den","Bogen","Umsichtig tippt der Schütze, der den Pfeil gespitzt hat, den"
"332","Bogen",83,"D","und feuert den Pfeil ab.",0,0,0,1.5,1.2,1.2,"den","Bogen","Umsichtig tippt der Schütze, der das Laub zusammengekehrt hat, den"
"333","Ziegel",84,"A","und beendete den Arbeitstag.",0,0.58,1,7,4.8,4.2,"die","Ziegel","Schnell verlegte der Dachdecker, der das Dach abdeckte, die"
"334","Ziegel",84,"B","und beendete den Arbeitstag.",0,0.5,1,1.2,1.6,4.2,"die","Ziegel","Schnell verlegte der Dachdecker, der den Ehering auszog, die"
"335","Ziegel",84,"C","und beendete den Arbeitstag.",0,0,1,7,4.8,1,"die","Ziegel","Schnell naschte der Dachdecker, der das Dach abdeckte, die"
"336","Ziegel",84,"D","und beendete den Arbeitstag.",0,0,1,1.2,1.6,1,"die","Ziegel","Schnell naschte der Dachdecker, der den Ehering auszog, die"
"337","Kartons",85,"A","und die Kisten.",0,0.58,1,6.5,1.9,5.5,"die","Kartons","Zuerst stapelt der Umzugshelfer, der den Umzugswagen gefahren hat, die"
"338","Kartons",85,"B","und die Kisten.",0,0.67,1,4.4,1.1,5.5,"die","Kartons","Zuerst stapelt der Umzugshelfer, der die Firma gegründet hat, die"
"339","Kartons",85,"C","und die Kisten.",0,0,1,6.5,1.9,2,"die","Kartons","Zuerst serviert der Umzugshelfer, der den Umzugswagen gefahren hat, die"
"340","Kartons",85,"D","und die Kisten.",0,0,1,4.4,1.1,2,"die","Kartons","Zuerst serviert der Umzugshelfer, der die Firma gegründet hat, die"
"341","Unterricht",86,"A","und wurde erwischt.",2,0.5,0,7,5.9,6.7,"den","Unterricht","Heute früh schwänzte der Schüler, der die Klasse wiederholt hatte, den"
"342","Unterricht",86,"B","und wurde erwischt.",2,0.33,0,3.8,1.8,6.7,"den","Unterricht","Heute früh schwänzte der Schüler, der das Handy verloren hatte, den"
"343","Unterricht",86,"C","und wurde erwischt.",2,0,0,7,5.9,1.7,"den","Unterricht","Heute früh dekorierte der Schüler, der die Klasse wiederholt hatte, den"
"344","Unterricht",86,"D","und wurde erwischt.",2,0,0,3.8,1.8,1.7,"den","Unterricht","Heute früh dekorierte der Schüler, der das Handy verloren hatte, den"
"345","Ausweis",87,"A","und ließ die Frau in den Club.",0,0.33,1,6.4,3.3,6.6,"den","Ausweis","Am Abend kontrollierte der Türsteher, der den Geldbeutel durchsuchte, den"
"346","Ausweis",87,"B","und ließ die Frau in den Club.",0,0.25,1,2,1.2,6.6,"den","Ausweis","Am Abend kontrollierte der Türsteher, der die Nachtluft genoss, den"
"347","Ausweis",87,"C","und ließ die Frau in den Club.",0,0,1,6.4,3.3,1.5,"den","Ausweis","Am Abend probierte der Türsteher, der den Geldbeutel durchsuchte, den"
"348","Ausweis",87,"D","und ließ die Frau in den Club.",0,0,1,2,1.2,1.5,"den","Ausweis","Am Abend probierte der Türsteher, der die Nachtluft genoss, den"
"349","Windel",88,"A","und warf sie in den Abfall.",0,0.92,1,6.7,2.4,6.5,"die","Windel","Umsichtig wechselte der Babysitter, der das Baby geweckt hatte, die"
"350","Windel",88,"B","und warf sie in den Abfall.",0,0.83,1,1,1.1,6.5,"die","Windel","Umsichtig wechselte der Babysitter, der den Obstsalat zubereitet hatte, die"
"351","Windel",88,"C","und warf sie in den Abfall.",0,0.08,1,6.7,2.4,1.5,"die","Windel","Umsichtig bastelte der Babysitter, der das Baby geweckt hatte, die"
"352","Windel",88,"D","und warf sie in den Abfall.",0,0,1,1,1.1,1.5,"die","Windel","Umsichtig bastelte der Babysitter, der den Obstsalat zubereitet hatte, die"
"353","Gewichte",89,"A","in die Höhe.",0,0.5,1,6.7,1.6,6.7,"die","Gewichte","Langsam stemmte der Bodybuilder, der das Fitnessstudio betreten hatte, die"
"354","Gewichte",89,"B","in die Höhe.",0,0.42,1,1.7,2,6.7,"die","Gewichte","Langsam stemmte der Bodybuilder, der das Licht angemacht hatte, die"
"355","Gewichte",89,"C","in die Höhe.",0,0,1,6.7,1.6,2,"die","Gewichte","Langsam verdaute der Bodybuilder, der das Fitnessstudio betreten hatte, die"
"356","Gewichte",89,"D","in die Höhe.",0,0,1,1.7,2,2,"die","Gewichte","Langsam verdaute der Bodybuilder, der das Licht angemacht hatte, die"
"357","Rohr",90,"A","im Badezimmer.",0,0.17,1,6.4,1.5,5.5,"das","Rohr","Umsichtig repariert der Klempner, der das Wasser ausgestellt hat, das"
"358","Rohr",90,"B","im Badezimmer.",0,0.25,1,1.3,4.6,5.5,"das","Rohr","Umsichtig repariert der Klempner, der den Kirchenchor geleitet hat, das"
"359","Rohr",90,"C","im Badezimmer.",0,0,1,6.4,1.5,1.1,"das","Rohr","Umsichtig nascht der Klempner, der das Wasser ausgestellt hat, das"
"360","Rohr",90,"D","im Badezimmer.",0,0,1,1.3,4.6,1.1,"das","Rohr","Umsichtig nascht der Klempner, der den Kirchenchor geleitet hat, das"
"361","Artikel",91,"A","für die nächste Ausgabe.",0,0.5,0,6.4,1.5,6.1,"den","Artikel","Schnell schreibt der Journalist, der die Recherche durchgeführt hat, den"
"362","Artikel",91,"B","für die nächste Ausgabe.",0,0.25,0,2.5,5.4,6.1,"den","Artikel","Schnell schreibt der Journalist, der das Portemonnaie gefunden hat, den"
"363","Artikel",91,"C","für die nächste Ausgabe.",0,0,0,6.4,1.5,2.3,"den","Artikel","Schnell lenkt der Journalist, der die Recherche durchgeführt hat, den"
"364","Artikel",91,"D","für die nächste Ausgabe.",0,0,0,2.5,5.4,2.3,"den","Artikel","Schnell lenkt der Journalist, der das Portemonnaie gefunden hat, den"
"365","Reifen",92,"A","an seinem Rad.",0,0.67,1,6.8,4.1,6.7,"den","Reifen","Heute Morgen flickte der Radler, der die Luftpumpe benutzt hatte, den"
"366","Reifen",92,"B","an seinem Rad.",0,0.67,1,1.2,1.8,6.7,"den","Reifen","Heute Morgen flickte der Radler, der den Schrank abgeschlossen hatte, den"
"367","Reifen",92,"C","an seinem Rad.",0,0,1,6.8,4.1,1.1,"den","Reifen","Heute Morgen trank der Radler, der die Luftpumpe benutzt hatte, den"
"368","Reifen",92,"D","an seinem Rad.",0,0,1,1.2,1.8,1.1,"den","Reifen","Heute Morgen trank der Radler, der den Schrank abgeschlossen hatte, den"
"369","Briefkasten",93,"A","und fährt weiter.",2,0.58,1,6.2,1.3,6.3,"den","Briefkasten","Umgehend entleert der Postbote, der das Postauto geparkt hat, den"
"370","Briefkasten",93,"B","und fährt weiter.",2,0.58,1,2.5,2,6.3,"den","Briefkasten","Umgehend entleert der Postbote, der den Kugelschreiber verloren hat, den"
"371","Briefkasten",93,"C","und fährt weiter.",2,0,1,6.2,1.3,1.1,"den","Briefkasten","Umgehend verdrückt der Postbote, der das Postauto geparkt hat, den"
"372","Briefkasten",93,"D","und fährt weiter.",2,0,1,2.5,2,1.1,"den","Briefkasten","Umgehend verdrückt der Postbote, der den Kugelschreiber verloren hat, den"
"373","Drogen",94,"A","für die nächste Woche.",0,0.5,1,6.8,2.2,4.7,"die","Drogen","Hektisch kauft der Junkie, der den Dealer angerufen hat, die"
"374","Drogen",94,"B","für die nächste Woche.",0,0.5,1,2.1,2.2,4.7,"die","Drogen","Hektisch kauft der Junkie, der die Kapuze aufgezogen hat, die"
"375","Drogen",94,"C","für die nächste Woche.",0,0,1,6.8,2.2,1.1,"die","Drogen","Hektisch näht der Junkie, der den Dealer angerufen hat, die"
"376","Drogen",94,"D","für die nächste Woche.",0,0.08,1,2.1,2.2,1.1,"die","Drogen","Hektisch näht der Junkie, der die Kapuze aufgezogen hat, die"
"377","Tonne",95,"A","und sprang auf den Müllwagen.",0,0.75,1,6.4,1.8,5.8,"die","Tonne","Zügig leerte der Müllmann, der den Müllwagen geparkt hatte, die"
"378","Tonne",95,"B","und sprang auf den Müllwagen.",0,0.75,1,4.2,1.1,5.8,"die","Tonne","Zügig leerte der Müllmann, der den Hausbesitzer gegrüßt hatte, die"
"379","Tonne",95,"C","und sprang auf den Müllwagen.",0,0,1,6.4,1.8,1.8,"die","Tonne","Zügig bastelte der Müllmann, der den Müllwagen geparkt hatte, die"
"380","Tonne",95,"D","und sprang auf den Müllwagen.",0,0,1,4.2,1.1,1.8,"die","Tonne","Zügig bastelte der Müllmann, der den Hausbesitzer gegrüßt hatte, die"
"381","Peitsche",96,"A","und gab die Sporen.",2,0.58,1,6,5.6,5.8,"die","Peitsche","Hektisch knallte der Reiter, der das Pferd ritt, die"
"382","Peitsche",96,"B","und gab die Sporen.",2,0.5,1,1.2,1.2,5.8,"die","Peitsche","Hektisch knallte der Reiter, der die Landschaft durchquerte, die"
"383","Peitsche",96,"C","und gab die Sporen.",2,0,1,6,5.6,1.1,"die","Peitsche","Hektisch verfasste der Reiter, der das Pferd ritt, die"
"384","Peitsche",96,"D","und gab die Sporen.",2,0,1,1.2,1.2,1.1,"die","Peitsche","Hektisch verfasste der Reiter, der die Landschaft durchquerte, die"
"385","Waffe",97,"A","und verlangte das Geld.",0,0.58,1,3.9,6.5,6.1,"die","Waffe","Nach kurzem Überlegen zückte der Gangster, der die Bank überfiel, die"
"386","Waffe",97,"B","und verlangte das Geld.",0,0.58,1,1.3,1.1,6.1,"die","Waffe","Nach kurzem Überlegen zückte der Gangster, der den Bus betrat, die"
"387","Waffe",97,"C","und verlangte das Geld.",0,0,1,3.9,6.5,1.4,"die","Waffe","Nach kurzem Überlegen gründete der Gangster, der die Bank überfiel, die"
"388","Waffe",97,"D","und verlangte das Geld.",0,0,1,1.3,1.1,1.4,"die","Waffe","Nach kurzem Überlegen gründete der Gangster, der den Bus betrat, die"
"389","Schiff",98,"A","und übernahm das Kommando.",0,0.92,1,6.2,5.1,6.8,"das","Schiff","Zufrieden kaperte der Pirat, der die Flagge hisste, das"
"390","Schiff",98,"B","und übernahm das Kommando.",0,0.92,1,2.3,1.4,6.8,"das","Schiff","Zufrieden kaperte der Pirat, der die Fehde austrug, das"
"391","Schiff",98,"C","und übernahm das Kommando.",0,0,1,6.2,5.1,1.1,"das","Schiff","Zufrieden verrührte der Pirat, der die Flagge hisste, das"
"392","Schiff",98,"D","und übernahm das Kommando.",0,0,1,2.3,1.4,1.1,"das","Schiff","Zufrieden verrührte der Pirat, der die Fehde austrug, das"
"393","Aktie",99,"A","und berichtet seinem Auftraggeber.",0,0.75,1,6.9,1.1,6.5,"die","Aktie","Sofort kauft der Börsenmakler, der die Börse betreten hat, die"
"394","Aktie",99,"B","und berichtet seinem Auftraggeber.",0,0.83,1,1.4,1.6,6.5,"die","Aktie","Sofort kauft der Börsenmakler, der den Whiskey eingeschenkt hat, die"
"395","Aktie",99,"C","und berichtet seinem Auftraggeber.",0,0,1,6.9,1.1,1.4,"die","Aktie","Sofort knabbert der Börsenmakler, der die Börse betreten hat, die"
"396","Aktie",99,"D","und berichtet seinem Auftraggeber.",0,0,1,1.4,1.6,1.4,"die","Aktie","Sofort knabbert der Börsenmakler, der den Whiskey eingeschenkt hat, die"
"397","Loch",100,"A","in die Decke.",0,1,0,6.5,2,6.9,"das","Loch","Gestern bohrte der Handwerker, der die Bohrmaschine hielt, das"
"398","Loch",100,"B","in die Decke.",0,0.75,0,1.4,1.7,6.9,"das","Loch","Gestern bohrte der Handwerker, der das Kaugummi kaute, das"
"399","Loch",100,"C","in die Decke.",0,0,0,6.5,2,3.9,"das","Loch","Gestern warf der Handwerker, der die Bohrmaschine hielt, das"
"400","Loch",100,"D","in die Decke.",0,0,0,1.4,1.7,3.9,"das","Loch","Gestern warf der Handwerker, der das Kaugummi kaute, das"
"401","Blutdruck",101,"A","und den Blutzucker.",3,0.58,1,6.8,1.6,6.7,"den","Blutdruck","Am Morgen misst der Arzthelfer, der das Messgerät hält, den"
"402","Blutdruck",101,"B","und den Blutzucker.",3,0.58,1,2.3,1.6,6.7,"den","Blutdruck","Am Morgen misst der Arzthelfer, der den Bildschirm anstellt, den"
"403","Blutdruck",101,"C","und den Blutzucker.",3,0,1,6.8,1.6,1.4,"den","Blutdruck","Am Morgen kauft der Arzthelfer, der das Messgerät hält, den"
"404","Blutdruck",101,"D","und den Blutzucker.",3,0,1,2.3,1.6,1.4,"den","Blutdruck","Am Morgen kauft der Arzthelfer, der den Bildschirm anstellt, den"
"405","Tuch",102,"A","und machte sich bereit.",0,0.67,0,6.3,3.5,2.7,"das","Tuch","Konzentriert schwang der Torero, der den Stier verwundet hatte, das"
"406","Tuch",102,"B","und machte sich bereit.",0,0.83,0,4.1,1.8,2.7,"das","Tuch","Konzentriert schwang der Torero, der das Gebet aufgesagt hatte, das"
"407","Tuch",102,"C","und machte sich bereit.",0,0,0,6.3,3.5,2.6,"das","Tuch","Konzentriert befüllte der Torero, der den Stier verwundet hatte, das"
"408","Tuch",102,"D","und machte sich bereit.",0,0,0,4.1,1.8,2.6,"das","Tuch","Konzentriert befüllte der Torero, der das Gebet aufgesagt hatte, das"
"409","Schwert",103,"A","und griff den Gegner an.",0,0.92,1,6.2,1.5,5.9,"das","Schwert","Angespannt zückte der Ritter, nachdem er den Kampf begonnen hatte, das"
"410","Schwert",103,"B","und griff den Gegner an.",0,0.92,1,1.1,1,5.9,"das","Schwert","Angespannt zückte der Ritter, nachdem er die Brücke überquert hatte, das"
"411","Schwert",103,"C","und griff den Gegner an.",0,0,1,6.2,1.5,1.1,"das","Schwert","Angespannt kaute der Ritter, nachdem er den Kampf begonnen hatte, das"
"412","Schwert",103,"D","und griff den Gegner an.",0,0.08,1,1.1,1,1.1,"das","Schwert","Angespannt kaute der Ritter, nachdem er die Brücke überquert hatte, das"
"413","Rettungswagen",104,"A","in Richtung des Krankenhauses.",0,0.75,0,6.8,2.6,4.7,"den","Rettungswagen","Wachsam steuert der Sanitäter, der das Blaulicht eingeschaltet hat, den"
"414","Rettungswagen",104,"B","in Richtung des Krankenhauses.",0,0.58,0,1.3,1.2,4.7,"den","Rettungswagen","Wachsam steuert der Sanitäter, der den Notizblock weggelegt hat, den"
"415","Rettungswagen",104,"C","in Richtung des Krankenhauses.",0,0,0,6.8,2.6,1,"den","Rettungswagen","Wachsam kopiert der Sanitäter, der das Blaulicht eingeschaltet hat, den"
"416","Rettungswagen",104,"D","in Richtung des Krankenhauses.",0,0,0,1.3,1.2,1,"den","Rettungswagen","Wachsam kopiert der Sanitäter, der den Notizblock weggelegt hat, den"
"417","Aussage",105,"A","und wendete sich an seinen Anwalt.",0,1,0,6.4,3.5,6.3,"die","Aussage","Ohne zu zögern verweigerte der Zeuge, der den Angeklagten wiedererkannte, die"
"418","Aussage",105,"B","und wendete sich an seinen Anwalt.",0,0.83,0,1.1,1.6,6.3,"die","Aussage","Ohne zu zögern verweigerte der Zeuge, der den Gehstock umklammerte, die"
"419","Aussage",105,"C","und wendete sich an seinen Anwalt.",0,0,0,6.4,3.5,2.6,"die","Aussage","Ohne zu zögern bestellte der Zeuge, der den Angeklagten wiedererkannte, die"
"420","Aussage",105,"D","und wendete sich an seinen Anwalt.",0,0,0,1.1,1.6,2.6,"die","Aussage","Ohne zu zögern bestellte der Zeuge, der den Gehstock umklammerte, die"
"421","Schlittschuhe",106,"A","und begibt sich auf die Eisfläche.",2,1,0,6.7,2,6.1,"die","Schlittschuhe","Sogleich schnürt der Eiskunstläufer, der die Eishalle erreicht hat, die"
"422","Schlittschuhe",106,"B","und begibt sich auf die Eisfläche.",2,0.75,0,1.5,1.1,6.1,"die","Schlittschuhe","Sogleich schnürt der Eiskunstläufer, der das Bonbon gelutscht hat, die"
"423","Schlittschuhe",106,"C","und begibt sich auf die Eisfläche.",2,0,0,6.7,2,1.6,"die","Schlittschuhe","Sogleich zerbricht der Eiskunstläufer, der die Eishalle erreicht hat, die"
"424","Schlittschuhe",106,"D","und begibt sich auf die Eisfläche.",2,0.08,0,1.5,1.1,1.6,"die","Schlittschuhe","Sogleich zerbricht der Eiskunstläufer, der das Bonbon gelutscht hat, die"
"425","Lasso",107,"A","und fängt das Tier ein.",0,0.33,0,5.4,4.5,6.5,"das","Lasso","Gut gelaunt schwingt der Cowboy, nachdem er das Pferd gesattelt hatte, das"
"426","Lasso",107,"B","und fängt das Tier ein.",0,0.75,0,1.3,1.6,6.5,"das","Lasso","Gut gelaunt schwingt der Cowboy, nachdem er den Kameraden gerufen hat, das"
"427","Lasso",107,"C","und fängt das Tier ein.",0,0,0,5.4,4.5,1.1,"das","Lasso","Gut gelaunt zerhackt der Cowboy, nachdem er das Pferd gesattelt hatte, das"
"428","Lasso",107,"D","und fängt das Tier ein.",0,0,0,1.3,1.6,1.1,"das","Lasso","Gut gelaunt zerhackt der Cowboy, nachdem er den Kameraden gerufen hat, das"
"429","Drehbuch",108,"A","für die Serie.",2,0.33,0,6.6,4.4,6,"das","Drehbuch","Entspannt schrieb der Regisseur, der den Plot konstruiert hatte, das"
"430","Drehbuch",108,"B","für die Serie.",2,0.75,0,1.1,1.3,6,"das","Drehbuch","Entspannt schrieb der Regisseur, der den Kamin angemacht hatte, das"
"431","Drehbuch",108,"C","für die Serie.",2,0,0,6.6,4.4,1.1,"das","Drehbuch","Entspannt verzehrte der Regisseur, der den Plot konstruiert hatte, das"
"432","Drehbuch",108,"D","für die Serie.",2,0,0,1.1,1.3,1.1,"das","Drehbuch","Entspannt verzehrte der Regisseur, der den Kamin angemacht hatte, das"
"433","Stern",109,"A","am Firmament.",0,0.58,1,5.7,2.4,4.9,"den","Stern","Sofort entdeckt der Astronom, der das Teleskop aufgestellt hat, den"
"434","Stern",109,"B","am Firmament.",0,0.58,1,3,1.9,4.9,"den","Stern","Sofort entdeckt der Astronom, der die Uhrzeit notiert hat, den"
"435","Stern",109,"C","am Firmament.",0,0,1,5.7,2.4,1.4,"den","Stern","Sofort serviert der Astronom, der das Teleskop aufgestellt hat, den"
"436","Stern",109,"D","am Firmament.",0,0,1,3,1.9,1.4,"den","Stern","Sofort serviert der Astronom, der die Uhrzeit notiert hat, den"
"437","Anker",110,"A","und verließ den Hafen.",0,0.5,1,6.4,2,6.9,"den","Anker","Gestern lichtete der Seemann, der das Boot kommandierte, den"
"438","Anker",110,"B","und verließ den Hafen.",0,0.58,1,1,4.1,6.9,"den","Anker","Gestern lichtete der Seemann, der den Atem anhielt, den"
"439","Anker",110,"C","und verließ den Hafen.",0,0,1,6.4,2,1,"den","Anker","Gestern kochte der Seemann, der das Boot kommandierte, den"
"440","Anker",110,"D","und verließ den Hafen.",0,0,1,1,4.1,1,"den","Anker","Gestern kochte der Seemann, der den Atem anhielt, den"
"441","Seil",111,"A","um den Aufstieg abzusichern.",2,0.58,0,4.6,1.6,6.1,"das","Seil","Am Vormittag knotete der Bergsteiger, nachdem er den Haken festgebohrt hatte, das"
"442","Seil",111,"B","um den Aufstieg abzusichern.",2,0.75,0,1.4,1.6,6.1,"das","Seil","Am Vormittag knotete der Bergsteiger, nachdem er die Krähe verscheucht hatte, das"
"443","Seil",111,"C","um den Aufstieg abzusichern.",2,0,0,4.6,1.6,1.2,"das","Seil","Am Vormittag roch der Bergsteiger, nachdem er den Haken festgebohrt hatte, das"
"444","Seil",111,"D","um den Aufstieg abzusichern.",2,0,0,1.4,1.6,1.2,"das","Seil","Am Vormittag roch der Bergsteiger, nachdem er die Krähe verscheucht hatte, das"
"445","Rouletterad",112,"A","und verrät die nächste Zahl.",0,0.67,0,6.3,2.1,6.1,"das","Rouletterad","Entspannt dreht der Croupier, der den Spieltisch vorbereitet hat, das"
"446","Rouletterad",112,"B","und verrät die nächste Zahl.",0,0.33,0,2,1.3,6.1,"das","Rouletterad","Entspannt dreht der Croupier, der die Frau beeindruckt hat, das"
"447","Rouletterad",112,"C","und verrät die nächste Zahl.",0,0,0,6.3,2.1,1.1,"das","Rouletterad","Entspannt schlürft der Croupier, der den Spieltisch vorbereitet hat, das"
"448","Rouletterad",112,"D","und verrät die nächste Zahl.",0,0,0,2,1.3,1.1,"das","Rouletterad","Entspannt schlürft der Croupier, der die Frau beeindruckt hat, das"
"449","Nägel",113,"A","und lackierte sie.",0,0.75,0,6.9,1.7,6.8,"die","Nägel","Neulich feilte die Kosmetikerin, während sie die Maniküre durchführte, die"
"450","Nägel",113,"B","und lackierte sie.",0,1,0,1.3,1,6.8,"die","Nägel","Neulich feilte die Kosmetikerin, während sie das Gespräch belauschte, die"
"451","Nägel",113,"C","und lackierte sie.",0,0.08,0,6.9,1.7,5.5,"die","Nägel","Neulich baute die Kosmetikerin, während sie die Maniküre durchführte, die"
"452","Nägel",113,"D","und lackierte sie.",0,0,0,1.3,1,5.5,"die","Nägel","Neulich baute die Kosmetikerin, während sie das Gespräch belauschte, die"
"453","Zukunft",114,"A","der Familie.",0,0.58,1,6.7,3.9,6.8,"die","Zukunft","Sogleich prophezeite der Wahrsager, der die Kristallkugel befragt hatte, die"
"454","Zukunft",114,"B","der Familie.",0,0.58,1,1.4,1.1,6.8,"die","Zukunft","Sogleich prophezeite der Wahrsager, der die Kerze angezündet hatte, die"
"455","Zukunft",114,"C","der Familie.",0,0,1,6.7,3.9,1.5,"die","Zukunft","Sogleich würzte der Wahrsager, der die Kristallkugel befragt hatte, die"
"456","Zukunft",114,"D","der Familie.",0,0,1,1.4,1.1,1.5,"die","Zukunft","Sogleich würzte der Wahrsager, der die Kerze angezündet hatte, die"
"457","Ausgrabung",115,"A","in der Ruine.",0,0.92,0,6.6,5.3,3,"die","Ausgrabung","Heute beginnt der Archäologe, der die Schaufel hervorgeholt hat, die"
"458","Ausgrabung",115,"B","in der Ruine.",0,0.5,0,1.3,2.5,3,"die","Ausgrabung","Heute beginnt der Archäologe, der das Taxi genommen hat, die"
"459","Ausgrabung",115,"C","in der Ruine.",0,0,0,6.6,5.3,1.5,"die","Ausgrabung","Heute raspelt der Archäologe, der die Schaufel hervorgeholt hat, die"
"460","Ausgrabung",115,"D","in der Ruine.",0,0,0,1.3,2.5,1.5,"die","Ausgrabung","Heute raspelt der Archäologe, der das Taxi genommen hat, die"
"461","Strauß",116,"A","für die Hochzeit.",0,0.92,1,6.8,3.9,6.5,"den","Strauß","Zügig bindet der Florist, der die Rosen gezüchtet hat, den"
"462","Strauß",116,"B","für die Hochzeit.",0,0.92,1,2.6,1.6,6.5,"den","Strauß","Zügig bindet der Florist, der die Fenster geschlossen hat, den"
"463","Strauß",116,"C","für die Hochzeit.",0,0,1,6.8,3.9,1,"den","Strauß","Zügig ölt der Florist, der die Rosen gezüchtet hat, den"
"464","Strauß",116,"D","für die Hochzeit.",0,0,1,2.6,1.6,1,"den","Strauß","Zügig ölt der Florist, der die Fenster geschlossen hat, den"
"465","Rolle",117,"A","für das Theaterstück.",0,0.75,1,6.1,3.8,5.8,"die","Rolle","Umgehend spielt der Schauspieler, der das Skript auswendig gelernt hat, die"
"466","Rolle",117,"B","für das Theaterstück.",0,0.67,1,2.3,4.6,5.8,"die","Rolle","Umgehend spielt der Schauspieler, der die Torte gebacken hat, die"
"467","Rolle",117,"C","für das Theaterstück.",0,0,1,6.1,3.8,2.5,"die","Rolle","Umgehend schnibbelt der Schauspieler, der das Skript auswendig gelernt hat, die"
"468","Rolle",117,"D","für das Theaterstück.",0,0,1,2.3,4.6,2.5,"die","Rolle","Umgehend schnibbelt der Schauspieler, der die Torte gebacken hat, die"
"469","Sendung",118,"A","für den Fernsehkanal.",0,0.42,0,6.4,6.3,6.7,"die","Sendung","Am Abend moderiert der Moderator, der die Zuschauer unterhält, die"
"470","Sendung",118,"B","für den Fernsehkanal.",0,0.17,0,2,1.5,6.7,"die","Sendung","Am Abend moderiert der Moderator, der die Weltmeere bereist, die"
"471","Sendung",118,"C","für den Fernsehkanal.",0,0,0,6.4,6.3,3.7,"die","Sendung","Am Abend wiegt der Moderator, der die Zuschauer unterhält, die"
"472","Sendung",118,"D","für den Fernsehkanal.",0,0,0,2,1.5,3.7,"die","Sendung","Am Abend wiegt der Moderator, der die Weltmeere bereist, die"
"473","Stück",119,"A","für seine nächste Sonate.",0,0.25,0,4.8,4.1,6.9,"das","Stück","Ohne zu zögern komponierte der Musiker, der die Noten aufschrieb, das"
"474","Stück",119,"B","für seine nächste Sonate.",0,0.42,0,1.7,2.1,6.9,"das","Stück","Ohne zu zögern komponierte der Musiker, der die Fragen beantwortete, das"
"475","Stück",119,"C","für seine nächste Sonate.",0,0,0,4.8,4.1,4.2,"das","Stück","Ohne zu zögern grillte der Musiker, der die Noten aufschrieb, das"
"476","Stück",119,"D","für seine nächste Sonate.",0,0.08,0,1.7,2.1,4.2,"das","Stück","Ohne zu zögern grillte der Musiker, der die Fragen beantwortete, das"
"477","Bild",120,"A","in seinem Atelier.",2,0.58,1,6.6,2.3,7,"das","Bild","Fröhlich malte der Künstler, der die Leinwand aufgespannt hatte, das"
"478","Bild",120,"B","in seinem Atelier.",2,0.58,1,1.5,1.7,7,"das","Bild","Fröhlich malte der Künstler, der den Nachtisch zubereitet hatte, das"
"479","Bild",120,"C","in seinem Atelier.",2,0,1,6.6,2.3,2.2,"das","Bild","Fröhlich bewohnte der Künstler, der die Leinwand aufgespannt hatte, das"
"480","Bild",120,"D","in seinem Atelier.",2,0,1,1.5,1.7,2.2,"das","Bild","Fröhlich bewohnte der Künstler, der den Nachtisch zubereitet hatte, das"
