target,Condition,ContextCode,PlausibilityJudgement,Cloze,Sentence,context
project,Implaus,245,4.21,0.0,The dough was put in the hot project,The dough was put in the hot
pale,Implaus,250,4.48,0.0,Andrew was glad that the meeting was very pale,Andrew was glad that the meeting was very
puppy,Implaus,252,4.8,0.0,"When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour puppy","When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour"
ideas,Implaus,254,4.94,0.0,Most shark attacks occur very close to ideas,Most shark attacks occur very close to
stream,Implaus,255,4.41,0.0,He didn't have to spend much money on the car because he found an incredible stream,He didn't have to spend much money on the car because he found an incredible
material,Implaus,256,4.52,0.0,The wealthy child went to a private material,The wealthy child went to a private
stores,Implaus,260,4.7,0.0,"When you go to bed, turn off the stores","When you go to bed, turn off the"
meeting,Implaus,261,4.56,0.0,George must keep his pet on a meeting,George must keep his pet on a
cartoons,Implaus,263,3.85,0.0,"He didn't have time to file everything on his desk, so he organized it into two cartoons","He didn't have time to file everything on his desk, so he organized it into two"
scratch,Implaus,265,4.29,0.0,The whole town came to hear their mayor scratch,The whole town came to hear their mayor
absence,Implaus,273,4.68,0.0,Josie found she could not bend the elbow of her broken absence,Josie found she could not bend the elbow of her broken
screened,Implaus,275,3.52,0.0,It's hard to admit when one is screened,It's hard to admit when one is
vanished,Implaus,276,4.47,0.0,Vic asked her to repeat what she had vanished,Vic asked her to repeat what she had
bait,Implaus,281,3.63,0.0,When they were in London they visited Buckingham bait,When they were in London they visited Buckingham
cow,Implaus,282,4.42,0.0,The agent was sent to South America on a secret cow,The agent was sent to South America on a secret
robbery,Implaus,283,4.35,0.0,Sam knew that rain was coming because he could smell it in the robbery,Sam knew that rain was coming because he could smell it in the
cliff,Implaus,286,4.32,0.0,His boss refused to give him a cliff,His boss refused to give him a
music,Implaus,287,4.0,0.0,She flew in late last night and really didn't get much music,She flew in late last night and really didn't get much
boss,Implaus,288,3.97,0.0,"After a week, they gave up on the missing hikers and called off the boss","After a week, they gave up on the missing hikers and called off the"
stupid,Rel,3,1.74,0.0714285714285714,The salesman made the mistake of talking down to Jane because he thought she was stupid,The salesman made the mistake of talking down to Jane because he thought she was
ceiling,Rel,10,1.52,0.0625,Water was leaking out from the hole in the ceiling,Water was leaking out from the hole in the
coat,Rel,29,1.06,0.0666666666666666,"Rushing out, he forgot to take his coat","Rushing out, he forgot to take his"
shack,Rel,70,1.78,0.0344827586206896,"At that time, the boys lived down by the river in a shack","At that time, the boys lived down by the river in a"
dumb,BC,3,1.61,0.1785714285714285,The salesman made the mistake of talking down to Jane because he thought she was dumb,The salesman made the mistake of talking down to Jane because he thought she was
roof,BC,10,1.96,0.15625,Water was leaking out from the hole in the roof,Water was leaking out from the hole in the
jacket,BC,29,1.19,0.1,"Rushing out, he forgot to take his jacket","Rushing out, he forgot to take his"
hut,BC,70,1.7,0.1379310344827586,"At that time, the boys lived down by the river in a hut","At that time, the boys lived down by the river in a"
poor,Unrel,3,1.5,0.0357142857142857,The salesman made the mistake of talking down to Jane because he thought she was poor,The salesman made the mistake of talking down to Jane because he thought she was
balloon,Unrel,10,1.45,0.0,Water was leaking out from the hole in the balloon,Water was leaking out from the hole in the
umbrella,Unrel,29,1.21,0.0,"Rushing out, he forgot to take his umbrella","Rushing out, he forgot to take his"
van,Unrel,70,1.63,0.1034482758620689,"At that time, the boys lived down by the river in a van","At that time, the boys lived down by the river in a"
abstract,Implaus,3,3.34,0.0,The salesman made the mistake of talking down to Jane because he thought she was abstract,The salesman made the mistake of talking down to Jane because he thought she was
reward,Implaus,10,4.61,0.0,Water was leaking out from the hole in the reward,Water was leaking out from the hole in the
country,Implaus,29,4.64,0.0,"Rushing out, he forgot to take his country","Rushing out, he forgot to take his"
letter,Implaus,70,4.74,0.0,"At that time, the boys lived down by the river in a letter","At that time, the boys lived down by the river in a"
