"","Tar","Item","Condition","Completion","Part","Cloze","Cloze_Balanced","Association_Noun","Association_Verb","Association_MainVerb","article","target","context","lp_benjamin_gerpt2","s_lp"
"277","Gewehr",70,"A","und zielt erneut.",0,0.42,1,6.4,6.1,6,"das","Gewehr","Vorsichtig lädt der Jäger, der die Munition verschossen hat, das",-4.06044483184814,0.791166421776816
"278","Gewehr",70,"B","und zielt erneut.",0,0.5,1,1.4,1.3,6,"das","Gewehr","Vorsichtig lädt der Jäger, der den Campingplatz verlassen hat, das",-6.54046058654785,-0.162854633481627
"279","Gewehr",70,"C","und zielt erneut.",0,0,1,6.4,6.1,1.3,"das","Gewehr","Vorsichtig schneidet der Jäger, der die Munition verschossen hat, das",-3.49942946434021,1.00697975760416
"280","Gewehr",70,"D","und zielt erneut.",0,0,1,1.4,1.3,1.3,"das","Gewehr","Vorsichtig schneidet der Jäger, der den Campingplatz verlassen hat, das",-5.69194602966309,0.163554886872155
"281","Mörtel",71,"A","für die Mauer.",0,0.42,0,6.1,4,6,"den","Mörtel","Vorsichtig mischte der Maurer, der die Backsteine aufeinanderlegte, den",-6.31877011060715,-0.0775739729064261
"282","Mörtel",71,"B","für die Mauer.",0,0.25,0,1.4,1,6,"den","Mörtel","Vorsichtig mischte der Maurer, der die Nachbarn belauschte, den",-9.37391352653503,-1.25283713004807
"283","Mörtel",71,"C","für die Mauer.",0,0,0,6.1,4,1.3,"den","Mörtel","Vorsichtig schrieb der Maurer, der die Backsteine aufeinanderlegte, den",-6.19523826241493,-0.0300533134319733
"284","Mörtel",71,"D","für die Mauer.",0,0,0,1.4,1,1.3,"den","Mörtel","Vorsichtig schrieb der Maurer, der die Nachbarn belauschte, den",-9.87861406803131,-1.44698708344064
"285","Mehl",72,"A","aus dem Korn.",2,0.67,0,6.9,1.4,5.9,"das","Mehl","Vorgestern mahlte der Müller, der die Mühle betrieb, das",-4.01476144790649,0.808740064231788
"286","Mehl",72,"B","aus dem Korn.",2,0.5,0,1,1.1,5.9,"das","Mehl","Vorgestern mahlte der Müller, der das Lied pfiff, das",-7.10088157653809,-0.378439322105593
"287","Mehl",72,"C","aus dem Korn.",2,0,0,6.9,1.4,2.4,"das","Mehl","Vorgestern verzierte der Müller, der die Mühle betrieb, das",-4.42926692962646,0.649286659013893
"288","Mehl",72,"D","aus dem Korn.",2,0.17,0,1,1.1,2.4,"das","Mehl","Vorgestern verzierte der Müller, der das Lied pfiff, das",-7.52250957489014,-0.540632641705304
"289","Kuh",73,"A","und brachte ihr frisches Heu.",0,1,0,7,4.5,6.8,"die","Kuh","Vorsichtig melkte der Viehzüchter, nachdem er den Stall ausgemistet hatte, die",-5.24061679840088,0.337173779680313
"290","Kuh",73,"B","und brachte ihr frisches Heu.",0,0.75,0,3.1,1,6.8,"die","Kuh","Vorsichtig melkte der Viehzüchter, nachdem er das Gemüse sortiert hatte, die",-6.38753128051758,-0.104025258046225
"291","Kuh",73,"C","und brachte ihr frisches Heu.",0,0,0,7,4.5,1.4,"die","Kuh","Vorsichtig kleidete der Viehzüchter, nachdem er den Stall ausgemistet hatte, die",-5.47751426696777,0.246043240480328
"292","Kuh",73,"D","und brachte ihr frisches Heu.",0,0.08,0,3.1,1,1.4,"die","Kuh","Vorsichtig kleidete der Viehzüchter, nachdem er das Gemüse sortiert hatte, die",-6.489182472229,-0.143128790756062
"293","Bett",74,"A","und das Kissen.",0,0.92,0,6.9,4.7,6.9,"das","Bett","Zuerst bezog der Hotelangestellte, nachdem er den Bezug entfaltet hatte, das",-5.87223100662231,0.0942022371400109
"294","Bett",74,"B","und das Kissen.",0,0.67,0,1.1,1.8,6.9,"das","Bett","Zuerst bezog der Hotelangestellte, nachdem er den Hamburger verspeist hatte, das",-6.50827121734619,-0.150471915381681
"295","Bett",74,"C","und das Kissen.",0,0.08,0,6.9,4.7,1.2,"das","Bett","Zuerst fälschte der Hotelangestellte, nachdem er den Bezug entfaltet hatte, das",-6.13709878921509,-0.0076880193933467
"296","Bett",74,"D","und das Kissen.",0,0,0,1.1,1.8,1.2,"das","Bett","Zuerst fälschte der Hotelangestellte, nachdem er den Hamburger verspeist hatte, das",-7.0631046295166,-0.363907155205611
"297","Ziel",75,"A","und durchtrennt die Ziellinie.",1,0.92,0,6,5.8,6.6,"das","Ziel","Augenblicklich erreicht der Sprinter, der das Rennen gewinnt, das",-3.75390386581421,0.90908766293887
"298","Ziel",75,"B","und durchtrennt die Ziellinie.",1,0.75,0,1.9,2.7,6.6,"das","Ziel","Augenblicklich erreicht der Sprinter, der den Wind genießt, das",-4.94429779052734,0.451162802552015
"299","Ziel",75,"C","und durchtrennt die Ziellinie.",1,0,0,6,5.8,1.9,"das","Ziel","Augenblicklich reinigt der Sprinter, der das Rennen gewinnt, das",-4.48524761199951,0.627751816112022
"300","Ziel",75,"D","und durchtrennt die Ziellinie.",1,0,0,1.9,2.7,1.9,"das","Ziel","Augenblicklich reinigt der Sprinter, der den Wind genießt, das",-5.59149503707886,0.202196722822333
"301","Welle",76,"A","bis zum Strand.",0,0.58,0,5.1,1.3,7,"die","Welle","Direkt surft der Surfer, der die Badehose angezogen hat, die",-6.85678958892822,-0.284541170386839
"302","Welle",76,"B","bis zum Strand.",0,0.42,0,3.2,1.3,7,"die","Welle","Direkt surft der Surfer, der den Tagesausflug unternommen hat, die",-7.6002082824707,-0.570522049809973
"303","Welle",76,"C","bis zum Strand.",0,0,0,5.1,1.3,1.5,"die","Welle","Direkt reserviert der Surfer, der die Badehose angezogen hat, die",-7.51831150054932,-0.539017711919034
"304","Welle",76,"D","bis zum Strand.",0,0,0,3.2,1.3,1.5,"die","Welle","Direkt reserviert der Surfer, der den Tagesausflug unternommen hat, die",-8.26816940307617,-0.827475648569995
"305","Fahrkarten",77,"A","der Pendler.",0,0.5,1,6.7,3.3,6.6,"die","Fahrkarten","Gut gelaunt kontrollierte der Schaffner, der das Zugabteil betreten hatte, die",-5.27254486083984,0.324891581971425
"306","Fahrkarten",77,"B","der Pendler.",0,0.42,1,2.8,2.4,6.6,"die","Fahrkarten","Gut gelaunt kontrollierte der Schaffner, der die Mittagspause beendet hatte, die",-8.57921886444092,-0.947131233340543
"307","Fahrkarten",77,"C","der Pendler.",0,0,1,6.7,3.3,1.3,"die","Fahrkarten","Gut gelaunt zitierte der Schaffner, der das Zugabteil betreten hatte, die",-5.8389310836792,0.107012166901954
"308","Fahrkarten",77,"D","der Pendler.",0,0,1,2.8,2.4,1.3,"die","Fahrkarten","Gut gelaunt zitierte der Schaffner, der die Mittagspause beendet hatte, die",-8.75744915008545,-1.01569347729701
"309","Leitung",78,"A","im Gebäude.",0,0.5,1,6.8,4.5,6.2,"die","Leitung","Am Mittag verlegte der Elektriker, nachdem er den Strom abgeschaltet hatte, die",-4.24584865570068,0.719844636281881
"310","Leitung",78,"B","im Gebäude.",0,0.41,1,2.2,3.4,6.2,"die","Leitung","Am Mittag verlegte der Elektriker, nachdem er den Anwohner informiert hatte, die",-5.58355331420898,0.205251772298744
"311","Leitung",78,"C","im Gebäude.",0,0,1,6.8,4.5,1.5,"die","Leitung","Am Mittag verfasste der Elektriker, nachdem er den Strom abgeschaltet hatte, die",-4.81837177276611,0.499604459473508
"312","Leitung",78,"D","im Gebäude.",0,0,1,2.2,3.4,1.5,"die","Leitung","Am Mittag verfasste der Elektriker, nachdem er den Anwohner informiert hatte, die",-5.96749019622803,0.0575576019523161
"313","Segel",79,"A","des großen Bootes.",3,0.42,1,5.5,4.4,5.8,"die","Segel","Langsam hisst der Matrose, nachdem er die Taue gekappt hat, die",-8.52907943725586,-0.927843424727837
"314","Segel",79,"B","des großen Bootes.",3,0.42,1,2.2,2.7,5.8,"die","Segel","Langsam hisst der Matrose, nachdem er die Handschuhe angezogen hat, die",-9.37693405151367,-1.25399907606479
"315","Segel",79,"C","des großen Bootes.",3,0,1,5.5,4.4,1.9,"die","Segel","Langsam verzehrt der Matrose, nachdem er die Taue gekappt hat, die",-8.6873722076416,-0.988736036219119
"316","Segel",79,"D","des großen Bootes.",3,0,1,2.2,2.7,1.9,"die","Segel","Langsam verzehrt der Matrose, nachdem er die Handschuhe angezogen hat, die",-9.27435493469238,-1.21453858590787
"317","Gläser",80,"A","und spricht mit dem Kollegen.",0,0.67,1,5.2,1.4,5.8,"die","Gläser","Direkt entspiegelt der Optiker, nachdem er den Sehtest durchgeführt hat, die",-6.0982494354248,0.00725668465898799
"318","Gläser",80,"B","und spricht mit dem Kollegen.",0,0.67,1,1.5,5,5.8,"die","Gläser","Direkt entspiegelt der Optiker, nachdem er die Jahresabrechnung aufgestellt hat, die",-9.79972362518311,-1.41663923448314
"319","Gläser",80,"C","und spricht mit dem Kollegen.",0,0,1,5.2,1.4,4.3,"die","Gläser","Direkt verschließt der Optiker, nachdem er den Sehtest durchgeführt hat, die",-6.10869693756104,0.00323770333036804
"320","Gläser",80,"D","und spricht mit dem Kollegen.",0,0,1,1.5,5,4.3,"die","Gläser","Direkt verschließt der Optiker, nachdem er die Jahresabrechnung aufgestellt hat, die",-9.67414855957031,-1.36833258305037
"321","Korb",81,"A","und holt einen Punkt.",0,0.83,0,6,4.8,4.8,"den","Korb","Auf der Stelle wirft der Basketballer, der den Ball gedribbelt hat, den",-3.45969295501709,1.0222657357214
"322","Korb",81,"B","und holt einen Punkt.",0,0.5,0,2.9,1.8,4.8,"den","Korb","Auf der Stelle wirft der Basketballer, der die Sitzbank verlassen hat, den",-2.77645564079285,1.28509583358385
"323","Korb",81,"C","und holt einen Punkt.",0,0,0,6,4.8,1.8,"den","Korb","Auf der Stelle bucht der Basketballer, der den Ball gedribbelt hat, den",-4.803879737854,0.505179305687083
"324","Korb",81,"D","und holt einen Punkt.",0,0,0,2.9,1.8,1.8,"den","Korb","Auf der Stelle bucht der Basketballer, der die Sitzbank verlassen hat, den",-4.44664621353149,0.642601135851674
"325","Muschel",82,"A","und holt die Perle.",0,0.92,0,6.2,1.5,4.2,"die","Muschel","Ohne zu zögern knackt der Perlentaucher, der den Meeresgrund erreicht hat, die",-7.05403424985707,-0.360417930123882
"326","Muschel",82,"B","und holt die Perle.",0,0.75,0,1,1.2,4.2,"die","Muschel","Ohne zu zögern knackt der Perlentaucher, der die Taschenlampe angemacht hat, die",-10.4878539554775,-1.68135159472469
"327","Muschel",82,"C","und holt die Perle.",0,0,0,6.2,1.5,1.4,"die","Muschel","Ohne zu zögern verknotet der Perlentaucher, die den Meeresgrund erreicht hat, die",-8.31436131894588,-0.845244914849422
"328","Muschel",82,"D","und holt die Perle.",0,0,0,1,1.2,1.4,"die","Muschel","Ohne zu zögern verknotet der Perlentaucher, der die Taschenlampe angemacht hat, die",-10.621092684567,-1.73260633078287
"329","Bogen",83,"A","und feuert den Pfeil ab.",0,1,0,7,2.1,6.7,"den","Bogen","Umsichtig spannt der Schütze, der den Pfeil gespitzt hat, den",-3.28054904937744,1.09117943418383
"330","Bogen",83,"B","und feuert den Pfeil ab.",0,0.67,0,1.5,1.2,6.7,"den","Bogen","Umsichtig spannt der Schütze, der das Laub zusammengekehrt hat, den",-5.76983833312988,0.133591005631045
"331","Bogen",83,"C","und feuert den Pfeil ab.",0,0.08,0,7,2.1,1.2,"den","Bogen","Umsichtig tippt der Schütze, der den Pfeil gespitzt hat, den",-4.27662467956543,0.708005608764228
"332","Bogen",83,"D","und feuert den Pfeil ab.",0,0,0,1.5,1.2,1.2,"den","Bogen","Umsichtig tippt der Schütze, der das Laub zusammengekehrt hat, den",-7.79337978363037,-0.64483193233107
"333","Ziegel",84,"A","und beendete den Arbeitstag.",0,0.58,1,7,4.8,4.2,"die","Ziegel","Schnell verlegte der Dachdecker, der das Dach abdeckte, die",-5.92662715911865,0.0732769366824583
"334","Ziegel",84,"B","und beendete den Arbeitstag.",0,0.5,1,1.2,1.6,4.2,"die","Ziegel","Schnell verlegte der Dachdecker, der den Ehering auszog, die",-7.44486331939697,-0.510763411051394
"335","Ziegel",84,"C","und beendete den Arbeitstag.",0,0,1,7,4.8,1,"die","Ziegel","Schnell naschte der Dachdecker, der das Dach abdeckte, die",-6.39398574829102,-0.106508185077909
"336","Ziegel",84,"D","und beendete den Arbeitstag.",0,0,1,1.2,1.6,1,"die","Ziegel","Schnell naschte der Dachdecker, der den Ehering auszog, die",-7.61235427856445,-0.575194413680471
"337","Kartons",85,"A","und die Kisten.",0,0.58,1,6.5,1.9,5.5,"die","Kartons","Zuerst stapelt der Umzugshelfer, der den Umzugswagen gefahren hat, die",-6.36137580871582,-0.0939636805091427
"338","Kartons",85,"B","und die Kisten.",0,0.67,1,4.4,1.1,5.5,"die","Kartons","Zuerst stapelt der Umzugshelfer, der die Firma gegründet hat, die",-9.44079875946045,-1.27856677324723
"339","Kartons",85,"C","und die Kisten.",0,0,1,6.5,1.9,2,"die","Kartons","Zuerst serviert der Umzugshelfer, der den Umzugswagen gefahren hat, die",-6.62918472290039,-0.196985341736016
"340","Kartons",85,"D","und die Kisten.",0,0,1,4.4,1.1,2,"die","Kartons","Zuerst serviert der Umzugshelfer, der die Firma gegründet hat, die",-9.65364360809326,-1.36044466725423
"341","Unterricht",86,"A","und wurde erwischt.",2,0.5,0,7,5.9,6.7,"den","Unterricht","Heute früh schwänzte der Schüler, der die Klasse wiederholt hatte, den",-1.94787323474884,1.60383778507537
"342","Unterricht",86,"B","und wurde erwischt.",2,0.33,0,3.8,1.8,6.7,"den","Unterricht","Heute früh schwänzte der Schüler, der das Handy verloren hatte, den",-3.34377384185791,1.06685790190065
"343","Unterricht",86,"C","und wurde erwischt.",2,0,0,7,5.9,1.7,"den","Unterricht","Heute früh dekorierte der Schüler, der die Klasse wiederholt hatte, den",-3.1711962223053,1.13324565867501
"344","Unterricht",86,"D","und wurde erwischt.",2,0,0,3.8,1.8,1.7,"den","Unterricht","Heute früh dekorierte der Schüler, der das Handy verloren hatte, den",-4.93184852600098,0.455951828774179
"345","Ausweis",87,"A","und ließ die Frau in den Club.",0,0.33,1,6.4,3.3,6.6,"den","Ausweis","Am Abend kontrollierte der Türsteher, der den Geldbeutel durchsuchte, den",-4.42443561553955,0.651145185660245
"346","Ausweis",87,"B","und ließ die Frau in den Club.",0,0.25,1,2,1.2,6.6,"den","Ausweis","Am Abend kontrollierte der Türsteher, der die Nachtluft genoss, den",-9.40714836120605,-1.26562202142794
"347","Ausweis",87,"C","und ließ die Frau in den Club.",0,0,1,6.4,3.3,1.5,"den","Ausweis","Am Abend probierte der Türsteher, der den Geldbeutel durchsuchte, den",-5.12349987030029,0.382226725462376
"348","Ausweis",87,"D","und ließ die Frau in den Club.",0,0,1,2,1.2,1.5,"den","Ausweis","Am Abend probierte der Türsteher, der die Nachtluft genoss, den",-10.0125541687012,-1.49851162554903
"349","Windel",88,"A","und warf sie in den Abfall.",0,0.92,1,6.7,2.4,6.5,"die","Windel","Umsichtig wechselte der Babysitter, der das Baby geweckt hatte, die",-5.89054107666016,0.0871586559424902
"350","Windel",88,"B","und warf sie in den Abfall.",0,0.83,1,1,1.1,6.5,"die","Windel","Umsichtig wechselte der Babysitter, der den Obstsalat zubereitet hatte, die",-8.13528156280518,-0.776355893638558
"351","Windel",88,"C","und warf sie in den Abfall.",0,0.08,1,6.7,2.4,1.5,"die","Windel","Umsichtig bastelte der Babysitter, der das Baby geweckt hatte, die",-6.34306240081787,-0.0869188152920283
"352","Windel",88,"D","und warf sie in den Abfall.",0,0,1,1,1.1,1.5,"die","Windel","Umsichtig bastelte der Babysitter, der den Obstsalat zubereitet hatte, die",-8.32102012634277,-0.847806447955614
"353","Gewichte",89,"A","in die Höhe.",0,0.5,1,6.7,1.6,6.7,"die","Gewichte","Langsam stemmte der Bodybuilder, der das Fitnessstudio betreten hatte, die",-8.62410926818848,-0.9643998294263
"354","Gewichte",89,"B","in die Höhe.",0,0.42,1,1.7,2,6.7,"die","Gewichte","Langsam stemmte der Bodybuilder, der das Licht angemacht hatte, die",-8.62676525115967,-0.96542154216023
"355","Gewichte",89,"C","in die Höhe.",0,0,1,6.7,1.6,2,"die","Gewichte","Langsam verdaute der Bodybuilder, der das Fitnessstudio betreten hatte, die",-8.39490413665771,-0.876228405095931
"356","Gewichte",89,"D","in die Höhe.",0,0,1,1.7,2,2,"die","Gewichte","Langsam verdaute der Bodybuilder, der das Licht angemacht hatte, die",-8.87169742584229,-1.05964289995388
"357","Rohr",90,"A","im Badezimmer.",0,0.17,1,6.4,1.5,5.5,"das","Rohr","Umsichtig repariert der Klempner, der das Wasser ausgestellt hat, das",-5.6915135383606,0.163721259125238
"358","Rohr",90,"B","im Badezimmer.",0,0.25,1,1.3,4.6,5.5,"das","Rohr","Umsichtig repariert der Klempner, der den Kirchenchor geleitet hat, das",-7.62027645111084,-0.57824194247069
"359","Rohr",90,"C","im Badezimmer.",0,0,1,6.4,1.5,1.1,"das","Rohr","Umsichtig nascht der Klempner, der das Wasser ausgestellt hat, das",-6.31762361526489,-0.0771329351048742
"360","Rohr",90,"D","im Badezimmer.",0,0,1,1.3,4.6,1.1,"das","Rohr","Umsichtig nascht der Klempner, der den Kirchenchor geleitet hat, das",-8.23524951934814,-0.814811913610376
"361","Artikel",91,"A","für die nächste Ausgabe.",0,0.5,0,6.4,1.5,6.1,"den","Artikel","Schnell schreibt der Journalist, der die Recherche durchgeführt hat, den",-3.01726865768433,1.19245904768464
"362","Artikel",91,"B","für die nächste Ausgabe.",0,0.25,0,2.5,5.4,6.1,"den","Artikel","Schnell schreibt der Journalist, der das Portemonnaie gefunden hat, den",-5.73342037200928,0.147600393124975
"363","Artikel",91,"C","für die nächste Ausgabe.",0,0,0,6.4,1.5,2.3,"den","Artikel","Schnell lenkt der Journalist, der die Recherche durchgeführt hat, den",-5.21887588500977,0.345537149588898
"364","Artikel",91,"D","für die nächste Ausgabe.",0,0,0,2.5,5.4,2.3,"den","Artikel","Schnell lenkt der Journalist, der das Portemonnaie gefunden hat, den",-6.78524780273438,-0.257020228138634
"365","Reifen",92,"A","an seinem Rad.",0,0.67,1,6.8,4.1,6.7,"den","Reifen","Heute Morgen flickte der Radler, der die Luftpumpe benutzt hatte, den",-3.5182421207428,0.99974283974209
"366","Reifen",92,"B","an seinem Rad.",0,0.67,1,1.2,1.8,6.7,"den","Reifen","Heute Morgen flickte der Radler, der den Schrank abgeschlossen hatte, den",-5.25079250335693,0.333259354232903
"367","Reifen",92,"C","an seinem Rad.",0,0,1,6.8,4.1,1.1,"den","Reifen","Heute Morgen trank der Radler, der die Luftpumpe benutzt hatte, den",-6.864990234375,-0.287695823097455
"368","Reifen",92,"D","an seinem Rad.",0,0,1,1.2,1.8,1.1,"den","Reifen","Heute Morgen trank der Radler, der den Schrank abgeschlossen hatte, den",-6.96678829193115,-0.326855852669421
"369","Briefkasten",93,"A","und fährt weiter.",2,0.58,1,6.2,1.3,6.3,"den","Briefkasten","Umgehend entleert der Postbote, der das Postauto geparkt hat, den",-3.28214645385742,1.09056493909251
"370","Briefkasten",93,"B","und fährt weiter.",2,0.58,1,2.5,2,6.3,"den","Briefkasten","Umgehend entleert der Postbote, der den Kugelschreiber verloren hat, den",-4.61163330078125,0.579133331349324
"371","Briefkasten",93,"C","und fährt weiter.",2,0,1,6.2,1.3,1.1,"den","Briefkasten","Umgehend verdrückt der Postbote, der das Postauto geparkt hat, den",-2.85791707038879,1.25375896853422
"372","Briefkasten",93,"D","und fährt weiter.",2,0,1,2.5,2,1.1,"den","Briefkasten","Umgehend verdrückt der Postbote, der den Kugelschreiber verloren hat, den",-4.23493909835815,0.724041362608559
"373","Drogen",94,"A","für die nächste Woche.",0,0.5,1,6.8,2.2,4.7,"die","Drogen","Hektisch kauft der Junkie, der den Dealer angerufen hat, die",-7.47371006011963,-0.521860275243827
"374","Drogen",94,"B","für die nächste Woche.",0,0.5,1,2.1,2.2,4.7,"die","Drogen","Hektisch kauft der Junkie, der die Kapuze aufgezogen hat, die",-10.3281745910645,-1.61992558343761
"375","Drogen",94,"C","für die nächste Woche.",0,0,1,6.8,2.2,1.1,"die","Drogen","Hektisch näht der Junkie, der den Dealer angerufen hat, die",-7.46218109130859,-0.517425271566813
"376","Drogen",94,"D","für die nächste Woche.",0,0.08,1,2.1,2.2,1.1,"die","Drogen","Hektisch näht der Junkie, der die Kapuze aufgezogen hat, die",-10.8728160858154,-1.82944016114753
"377","Tonne",95,"A","und sprang auf den Müllwagen.",0,0.75,1,6.4,1.8,5.8,"die","Tonne","Zügig leerte der Müllmann, der den Müllwagen geparkt hatte, die",-7.01235437393188,-0.344384371007239
"378","Tonne",95,"B","und sprang auf den Müllwagen.",0,0.75,1,4.2,1.1,5.8,"die","Tonne","Zügig leerte der Müllmann, der den Hausbesitzer gegrüßt hatte, die",-7.87178802490234,-0.674994286315109
"379","Tonne",95,"C","und sprang auf den Müllwagen.",0,0,1,6.4,1.8,1.8,"die","Tonne","Zügig bastelte der Müllmann, der den Müllwagen geparkt hatte, die",-6.78994703292847,-0.258827944295346
"380","Tonne",95,"D","und sprang auf den Müllwagen.",0,0,1,4.2,1.1,1.8,"die","Tonne","Zügig bastelte der Müllmann, der den Hausbesitzer gegrüßt hatte, die",-7.4660758972168,-0.518923539001417
"381","Peitsche",96,"A","und gab die Sporen.",2,0.58,1,6,5.6,5.8,"die","Peitsche","Hektisch knallte der Reiter, der das Pferd ritt, die",-8.13218351453543,-0.775164125693558
"382","Peitsche",96,"B","und gab die Sporen.",2,0.5,1,1.2,1.2,5.8,"die","Peitsche","Hektisch knallte der Reiter, der die Landschaft durchquerte, die",-11.1630756855011,-1.94109822987805
"383","Peitsche",96,"C","und gab die Sporen.",2,0,1,6,5.6,1.1,"die","Peitsche","Hektisch verfasste der Reiter, der das Pferd ritt, die",-9.05376133322716,-1.12967987480722
"384","Peitsche",96,"D","und gab die Sporen.",2,0,1,1.2,1.2,1.1,"die","Peitsche","Hektisch verfasste der Reiter, der die Landschaft durchquerte, die",-12.4408199489117,-2.43262532127629
"385","Waffe",97,"A","und verlangte das Geld.",0,0.58,1,3.9,6.5,6.1,"die","Waffe","Nach kurzem Überlegen zückte der Gangster, der die Bank überfiel, die",-7.60183620452881,-0.571148284509011
"386","Waffe",97,"B","und verlangte das Geld.",0,0.58,1,1.3,1.1,6.1,"die","Waffe","Nach kurzem Überlegen zückte der Gangster, der den Bus betrat, die",-6.35036277770996,-0.0897271495750576
"387","Waffe",97,"C","und verlangte das Geld.",0,0,1,3.9,6.5,1.4,"die","Waffe","Nach kurzem Überlegen gründete der Gangster, der die Bank überfiel, die",-9.15064525604248,-1.16694951799666
"388","Waffe",97,"D","und verlangte das Geld.",0,0,1,1.3,1.1,1.4,"die","Waffe","Nach kurzem Überlegen gründete der Gangster, der den Bus betrat, die",-6.54057502746582,-0.162898657010558
"389","Schiff",98,"A","und übernahm das Kommando.",0,0.92,1,6.2,5.1,6.8,"das","Schiff","Zufrieden kaperte der Pirat, der die Flagge hisste, das",-4.49351835250854,0.624570198989936
"390","Schiff",98,"B","und übernahm das Kommando.",0,0.92,1,2.3,1.4,6.8,"das","Schiff","Zufrieden kaperte der Pirat, der die Fehde austrug, das",-5.90903568267822,0.0800440868045691
"391","Schiff",98,"C","und übernahm das Kommando.",0,0,1,6.2,5.1,1.1,"das","Schiff","Zufrieden verrührte der Pirat, der die Flagge hisste, das",-4.06499004364014,0.78941795395279
"392","Schiff",98,"D","und übernahm das Kommando.",0,0,1,2.3,1.4,1.1,"das","Schiff","Zufrieden verrührte der Pirat, der die Fehde austrug, das",-5.62463760375977,0.189447325412669
"393","Aktie",99,"A","und berichtet seinem Auftraggeber.",0,0.75,1,6.9,1.1,6.5,"die","Aktie","Sofort kauft der Börsenmakler, der die Börse betreten hat, die",-5.18299722671509,0.359339076202744
"394","Aktie",99,"B","und berichtet seinem Auftraggeber.",0,0.83,1,1.4,1.6,6.5,"die","Aktie","Sofort kauft der Börsenmakler, der den Whiskey eingeschenkt hat, die",-5.78458976745605,0.127916372751894
"395","Aktie",99,"C","und berichtet seinem Auftraggeber.",0,0,1,6.9,1.1,1.4,"die","Aktie","Sofort knabbert der Börsenmakler, der die Börse betreten hat, die",-5.24126529693604,0.336924313016373
"396","Aktie",99,"D","und berichtet seinem Auftraggeber.",0,0,1,1.4,1.6,1.4,"die","Aktie","Sofort knabbert der Börsenmakler, der den Whiskey eingeschenkt hat, die",-5.92098999023438,0.0754454623450299
"397","Loch",100,"A","in die Decke.",0,1,0,6.5,2,6.9,"das","Loch","Gestern bohrte der Handwerker, der die Bohrmaschine hielt, das",-4.26507759094238,0.712447582833322
"398","Loch",100,"B","in die Decke.",0,0.75,0,1.4,1.7,6.9,"das","Loch","Gestern bohrte der Handwerker, der das Kaugummi kaute, das",-4.7442946434021,0.528100706318896
"399","Loch",100,"C","in die Decke.",0,0,0,6.5,2,3.9,"das","Loch","Gestern warf der Handwerker, der die Bohrmaschine hielt, das",-3.09333395957947,1.16319798373977
"400","Loch",100,"D","in die Decke.",0,0,0,1.4,1.7,3.9,"das","Loch","Gestern warf der Handwerker, der das Kaugummi kaute, das",-3.86366009712219,0.86686625550821
"401","Blutdruck",101,"A","und den Blutzucker.",3,0.58,1,6.8,1.6,6.7,"den","Blutdruck","Am Morgen misst der Arzthelfer, der das Messgerät hält, den",-2.66124987602234,1.32941358643277
"402","Blutdruck",101,"B","und den Blutzucker.",3,0.58,1,2.3,1.6,6.7,"den","Blutdruck","Am Morgen misst der Arzthelfer, der den Bildschirm anstellt, den",-4.97536706924438,0.439210964741477
"403","Blutdruck",101,"C","und den Blutzucker.",3,0,1,6.8,1.6,1.4,"den","Blutdruck","Am Morgen kauft der Arzthelfer, der das Messgerät hält, den",-4.06636333465576,0.788889671605623
"404","Blutdruck",101,"D","und den Blutzucker.",3,0,1,2.3,1.6,1.4,"den","Blutdruck","Am Morgen kauft der Arzthelfer, der den Bildschirm anstellt, den",-6.15119647979736,-0.0131111678634813
"405","Tuch",102,"A","und machte sich bereit.",0,0.67,0,6.3,3.5,2.7,"das","Tuch","Konzentriert schwang der Torero, der den Stier verwundet hatte, das",-8.24357986450195,-0.81801645965378
"406","Tuch",102,"B","und machte sich bereit.",0,0.83,0,4.1,1.8,2.7,"das","Tuch","Konzentriert schwang der Torero, der das Gebet aufgesagt hatte, das",-8.83594036102295,-1.04588774833953
"407","Tuch",102,"C","und machte sich bereit.",0,0,0,6.3,3.5,2.6,"das","Tuch","Konzentriert befüllte der Torero, der den Stier verwundet hatte, das",-8.2336950302124,-0.814213927342402
"408","Tuch",102,"D","und machte sich bereit.",0,0,0,4.1,1.8,2.6,"das","Tuch","Konzentriert befüllte der Torero, der das Gebet aufgesagt hatte, das",-8.73679828643799,-1.00774943150149
"409","Schwert",103,"A","und griff den Gegner an.",0,0.92,1,6.2,1.5,5.9,"das","Schwert","Angespannt zückte der Ritter, nachdem er den Kampf begonnen hatte, das",-3.38369488716125,1.05150093584302
"410","Schwert",103,"B","und griff den Gegner an.",0,0.92,1,1.1,1,5.9,"das","Schwert","Angespannt zückte der Ritter, nachdem er die Brücke überquert hatte, das",-4.60522127151489,0.58159993298903
"411","Schwert",103,"C","und griff den Gegner an.",0,0,1,6.2,1.5,1.1,"das","Schwert","Angespannt kaute der Ritter, nachdem er den Kampf begonnen hatte, das",-3.57144284248352,0.979277401730491
"412","Schwert",103,"D","und griff den Gegner an.",0,0.08,1,1.1,1,1.1,"das","Schwert","Angespannt kaute der Ritter, nachdem er die Brücke überquert hatte, das",-4.72751426696777,0.534555839679711
"413","Rettungswagen",104,"A","in Richtung des Krankenhauses.",0,0.75,0,6.8,2.6,4.7,"den","Rettungswagen","Wachsam steuert der Sanitäter, der das Blaulicht eingeschaltet hat, den",-4.49119800329208,0.625462798967924
