,target,Condition,ContextCode,PlausibilityJudgement,Cloze,Sentence,context,semantic_association,implementation,model
491,hut,BC,70,1.7,0.1379310344827586,"At that time, the boys lived down by the river in a hut","At that time, the boys lived down by the river in a",0.3567733,CWE,enwiki_20180420_300d
492,poor,Unrel,3,1.5,0.0357142857142857,The salesman made the mistake of talking down to Jane because he thought she was poor,The salesman made the mistake of talking down to Jane because he thought she was,0.3613278,CWE,enwiki_20180420_300d
493,balloon,Unrel,10,1.45,0.0,Water was leaking out from the hole in the balloon,Water was leaking out from the hole in the,0.38518208,CWE,enwiki_20180420_300d
494,umbrella,Unrel,29,1.21,0.0,"Rushing out, he forgot to take his umbrella","Rushing out, he forgot to take his",0.19309393,CWE,enwiki_20180420_300d
495,van,Unrel,70,1.63,0.1034482758620689,"At that time, the boys lived down by the river in a van","At that time, the boys lived down by the river in a",0.2610576,CWE,enwiki_20180420_300d
496,abstract,Implaus,3,3.34,0.0,The salesman made the mistake of talking down to Jane because he thought she was abstract,The salesman made the mistake of talking down to Jane because he thought she was,0.29494736,CWE,enwiki_20180420_300d
497,reward,Implaus,10,4.61,0.0,Water was leaking out from the hole in the reward,Water was leaking out from the hole in the,0.22121973,CWE,enwiki_20180420_300d
498,country,Implaus,29,4.64,0.0,"Rushing out, he forgot to take his country","Rushing out, he forgot to take his",0.2892527,CWE,enwiki_20180420_300d
499,letter,Implaus,70,4.74,0.0,"At that time, the boys lived down by the river in a letter","At that time, the boys lived down by the river in a",0.25505093,CWE,enwiki_20180420_300d
0,raise,BC,1,2.55,0.2258064516129032,"Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise","Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major",0.21148622035980225,CWE,word2vec-google-news-300
1,couch,BC,8,1.21,0.1875,The cigar burned a hole in the couch,The cigar burned a hole in the,0.21895496547222137,CWE,word2vec-google-news-300
2,try,BC,11,1.33,0.0344827586206896,"His first film was a failure, but he learned some techniques in that first try","His first film was a failure, but he learned some techniques in that first",0.30777543783187866,CWE,word2vec-google-news-300
3,look,BC,17,1.79,0.03125,He was hired for the job because of his fresh new look,He was hired for the job because of his fresh new,0.27059417963027954,CWE,word2vec-google-news-300
4,print,BC,18,1.46,0.0689655172413793,The journal issue that has the new article about diseases of the eye is still in print,The journal issue that has the new article about diseases of the eye is still in,0.2884419858455658,CWE,word2vec-google-news-300
5,ball,BC,22,1.33,0.03125,Every spring they held the annual ball,Every spring they held the annual,0.06320531666278839,CWE,word2vec-google-news-300
6,wheels,BC,23,1.63,0.09375,"Penelope started to assemble her new bicycle, but was missing the wheels","Penelope started to assemble her new bicycle, but was missing the",0.3204353153705597,CWE,word2vec-google-news-300
7,management,BC,24,1.25,0.1875,The restaurant will reopen with new management,The restaurant will reopen with new,0.15226110816001892,CWE,word2vec-google-news-300
8,bugs,BC,28,1.13,0.0,Jennifer disliked walking under the trees at the edge of the park because they were always full of bugs,Jennifer disliked walking under the trees at the edge of the park because they were always full of,0.2545391321182251,CWE,word2vec-google-news-300
9,pretty,BC,36,1.28,0.3125,"The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or pretty","The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or",0.35866937041282654,CWE,word2vec-google-news-300
10,print,BC,37,1.73,0.0689655172413793,I don't know why people like to see their initials in print,I don't know why people like to see their initials in,0.16876351833343506,CWE,word2vec-google-news-300
11,rare,BC,38,1.28,0.15625,The gem cutter examined the ruby very closely before cutting because he knew that one this large was very rare,The gem cutter examined the ruby very closely before cutting because he knew that one this large was very,0.31351494789123535,CWE,word2vec-google-news-300
12,temple,BC,39,1.22,0.2903225806451613,They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's temple,They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's,0.42075425386428833,CWE,word2vec-google-news-300
13,police,BC,40,1.39,0.2413793103448276,He took a job training dogs for the police,He took a job training dogs for the,0.23995919525623322,CWE,word2vec-google-news-300
14,orchestra,BC,41,1.11,0.2666666666666666,The conductor gave detailed instructions to the orchestra,The conductor gave detailed instructions to the,0.35094407200813293,CWE,word2vec-google-news-300
15,cards,BC,45,1.03,0.125,"Down in the basement, Steve and Robert were playing cards","Down in the basement, Steve and Robert were playing",0.13003157079219818,CWE,word2vec-google-news-300
16,company,BC,47,1.13,0.4137931034482758,"After the most recent price increase, the small business owner decided to order his office supplies from another company","After the most recent price increase, the small business owner decided to order his office supplies from another",0.4536118805408478,CWE,word2vec-google-news-300
17,dog,BC,48,1.07,0.21875,Sharon was sad that she had lost her dog,Sharon was sad that she had lost her,0.16567018628120422,CWE,word2vec-google-news-300
18,combat,BC,50,2.21,0.4482758620689655,"All of armed services will admit women, but females are barred from combat","All of armed services will admit women, but females are barred from",0.2014925181865692,CWE,word2vec-google-news-300
19,cheap,BC,51,1.44,0.1724137931034483,"After the divorce, she had to move out of the expensive house to an apartment that was cheap","After the divorce, she had to move out of the expensive house to an apartment that was",0.27889516949653625,CWE,word2vec-google-news-300
20,morals,BC,52,1.13,0.4137931034482758,"His tactics usually turned out to be beneficial for the business, but they often came in conflict with his morals","His tactics usually turned out to be beneficial for the business, but they often came in conflict with his",0.21523316204547882,CWE,word2vec-google-news-300
21,hilarious,BC,53,1.32,0.3571428571428571,"Some of his jokes were crummy, but those one-liners were hilarious","Some of his jokes were crummy, but those one-liners were",0.4964987337589264,CWE,word2vec-google-news-300
22,restaurant,BC,60,1.74,0.4827586206896552,The inspector from the health department found a roach in a very expensive restaurant,The inspector from the health department found a roach in a very expensive,0.2486909180879593,CWE,word2vec-google-news-300
23,felon,BC,61,1.03,0.1428571428571428,The conductor had no idea that the train had been boarded by a known felon,The conductor had no idea that the train had been boarded by a known,0.02640300616621971,CWE,word2vec-google-news-300
24,medicine,BC,64,1.22,0.28125,The nurse brought him a glass of juice and his medicine,The nurse brought him a glass of juice and his,0.33428090810775757,CWE,word2vec-google-news-300
25,school,BC,65,1.21,0.2857142857142857,The teacher was not looking forward to another year of school,The teacher was not looking forward to another year of,0.4746801257133484,CWE,word2vec-google-news-300
26,year,BC,67,1.31,0.2857142857142857,Steve skipped his annual checkup for another year,Steve skipped his annual checkup for another,0.32633650302886963,CWE,word2vec-google-news-300
27,vague,BC,72,1.33,0.3103448275862069,"The candidate wanted to please everyone without making any commitments, so his speech was deliberately vague","The candidate wanted to please everyone without making any commitments, so his speech was deliberately",0.32355183362960815,CWE,word2vec-google-news-300
28,plants,BC,74,1.29,0.1785714285714285,She poured water on the plants,She poured water on the,0.14475390315055847,CWE,word2vec-google-news-300
29,modern,BC,81,1.3,0.5,"Mark liked the older houses, but Susan wanted to buy one that was new and modern","Mark liked the older houses, but Susan wanted to buy one that was new and",0.2773674428462982,CWE,word2vec-google-news-300
30,doctor,BC,82,1.06,0.1428571428571428,"In an old sitcom, he was the wise family doctor","In an old sitcom, he was the wise family",0.28364297747612,CWE,word2vec-google-news-300
31,censored,BC,83,1.56,0.1875,"The government controlled the news media, so most of the reports from the war zone were censored","The government controlled the news media, so most of the reports from the war zone were",0.22906437516212463,CWE,word2vec-google-news-300
32,medal,BC,84,1.18,0.28125,"Grinning wherever he went, it was easy to tell that Carl was proud of his new gold medal","Grinning wherever he went, it was easy to tell that Carl was proud of his new gold",0.3334420621395111,CWE,word2vec-google-news-300
33,pool,BC,85,1.18,0.25,"During the summer, the children hung out at the pool","During the summer, the children hung out at the",0.20690569281578064,CWE,word2vec-google-news-300
34,heroic,BC,86,1.7,0.0625,"The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be heroic","The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be",0.36983150243759155,CWE,word2vec-google-news-300
35,diary,BC,88,1.33,0.5517241379310345,The little girl kept a lock on her diary,The little girl kept a lock on her,0.22622565925121307,CWE,word2vec-google-news-300
36,plane,BC,89,2.0,0.2,"Flying low above her, Bernice could hear the plane","Flying low above her, Bernice could hear the",0.37944620847702026,CWE,word2vec-google-news-300
37,car,BC,97,1.54,0.3,Perry heard a grinding noise coming from his car,Perry heard a grinding noise coming from his,0.13194279372692108,CWE,word2vec-google-news-300
38,complain,BC,98,1.7,0.53125,"If Jim's manager is incompetent, he has a legitimate right to complain","If Jim's manager is incompetent, he has a legitimate right to",0.261199027299881,CWE,word2vec-google-news-300
39,villain,BC,101,1.82,0.6333333333333333,"In the best part of the movie, the hero has to impersonate the villain","In the best part of the movie, the hero has to impersonate the",0.49188700318336487,CWE,word2vec-google-news-300
40,crown,BC,103,1.38,0.46875,The princess wore a crown,The princess wore a,0.25889766216278076,CWE,word2vec-google-news-300
41,drum,BC,106,1.34,0.25,Jason was disappointed when the other scouts scared off the elk by loudly beating the drum,Jason was disappointed when the other scouts scared off the elk by loudly beating the,0.1361924111843109,CWE,word2vec-google-news-300
42,ruined,BC,107,1.17,0.09375,"After the flood, the house smelled of mildew and everything in it was ruined","After the flood, the house smelled of mildew and everything in it was",0.30977049469947815,CWE,word2vec-google-news-300
43,accident,BC,109,1.2,0.2413793103448276,Everyone on the scene gathered around to look at the accident,Everyone on the scene gathered around to look at the,0.22304563224315643,CWE,word2vec-google-news-300
44,tied,BC,115,1.78,0.5357142857142857,The final score of the game was tied,The final score of the game was,0.39102867245674133,CWE,word2vec-google-news-300
45,exhausted,BC,117,1.48,0.3333333333333333,"After swimming the English Channel, Bonita was cold and completely exhausted","After swimming the English Channel, Bonita was cold and completely",0.2921428084373474,CWE,word2vec-google-news-300
46,confidence,BC,120,1.48,0.46875,"She had the data to back up everything she said, so the hostile questions did not shake her confidence","She had the data to back up everything she said, so the hostile questions did not shake her",0.30070722103118896,CWE,word2vec-google-news-300
47,fabric,BC,125,1.64,0.2857142857142857,"The new dress was very pretty, but it was cut from an unusual fabric","The new dress was very pretty, but it was cut from an unusual",0.19075188040733337,CWE,word2vec-google-news-300
48,run,BC,128,1.24,0.2758620689655172,"When the little girl saw the big dog lumbering towards her, she began to run","When the little girl saw the big dog lumbering towards her, she began to",0.22188010811805725,CWE,word2vec-google-news-300
49,stadium,BC,132,1.3,0.4482758620689655,"From her house a half mile away, Diana could still hear the loud cheers coming from the stadium","From her house a half mile away, Diana could still hear the loud cheers coming from the",0.3146193325519562,CWE,word2vec-google-news-300
50,storm,BC,133,1.36,0.4333333333333333,Five ships did not survive the storm,Five ships did not survive the,0.18320107460021973,CWE,word2vec-google-news-300
51,accident,BC,135,1.09,0.4642857142857143,The paramedics on the scene helped the passengers after the big car accident,The paramedics on the scene helped the passengers after the big car,0.39037325978279114,CWE,word2vec-google-news-300
52,crash,BC,136,1.42,0.2333333333333333,The pilot spoke to an air traffic controller just before the crash,The pilot spoke to an air traffic controller just before the,0.3551045060157776,CWE,word2vec-google-news-300
53,lunch,BC,140,1.38,0.2857142857142857,The boy scouts started a long hike through the forest after having a big lunch,The boy scouts started a long hike through the forest after having a big,0.19562162458896637,CWE,word2vec-google-news-300
54,roads,BC,143,1.41,0.1785714285714285,"When traveling, Roger prefers to stick to major roads","When traveling, Roger prefers to stick to major",0.15780749917030334,CWE,word2vec-google-news-300
55,needle,BC,147,1.52,0.6785714285714286,"While hemming a pair of pants, Bridget accidentally dropped her needle","While hemming a pair of pants, Bridget accidentally dropped her",0.2193879634141922,CWE,word2vec-google-news-300
56,bear,BC,148,1.25,0.4137931034482758,The rangers say that somewhere in the state park is a bear,The rangers say that somewhere in the state park is a,0.3252412676811218,CWE,word2vec-google-news-300
57,stress,BC,153,1.09,0.4642857142857143,The doctor told him his headaches were due to stress,The doctor told him his headaches were due to,0.33161020278930664,CWE,word2vec-google-news-300
58,hands,BC,156,1.09,0.5333333333333333,"The groups in the parade walked by slowly, each waving their hands","The groups in the parade walked by slowly, each waving their",0.186661496758461,CWE,word2vec-google-news-300
59,cure,BC,158,1.63,0.5,"The little girl was very sick, but unfortunately there was no cure","The little girl was very sick, but unfortunately there was no",0.22694168984889984,CWE,word2vec-google-news-300
60,view,BC,161,1.18,0.5666666666666667,"The meteor shower should have been spectacular, but the city lights blocked the view","The meteor shower should have been spectacular, but the city lights blocked the",0.20794016122817993,CWE,word2vec-google-news-300
61,end,BC,162,1.21,0.6206896551724138,She was unsure how the book would end,She was unsure how the book would,0.07415591180324554,CWE,word2vec-google-news-300
62,sales,BC,166,1.59,0.5333333333333333,"He was desperate for a job, so finally took something doing door to door sales","He was desperate for a job, so finally took something doing door to door",0.09723269194364548,CWE,word2vec-google-news-300
63,terms,BC,168,1.89,0.6785714285714286,The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical terms,The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical,0.1852399855852127,CWE,word2vec-google-news-300
64,young,BC,169,1.7,0.8275862068965517,"Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were young","Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were",0.3777346611022949,CWE,word2vec-google-news-300
65,business,BC,172,1.25,0.625,"In the window, they posted the hours they were open for business","In the window, they posted the hours they were open for",0.10030952841043472,CWE,word2vec-google-news-300
66,contagious,BC,173,1.61,0.5517241379310345,They sent the kids with measles home from school because they were contagious,They sent the kids with measles home from school because they were,0.34392765164375305,CWE,word2vec-google-news-300
67,water,BC,174,1.5,0.6896551724137931,"Outside, Cora could hear the running water","Outside, Cora could hear the running",0.1558145135641098,CWE,word2vec-google-news-300
68,walk,BC,177,1.64,0.4642857142857143,At night they often took a short walk,At night they often took a short,0.2505127191543579,CWE,word2vec-google-news-300
69,published,BC,182,1.36,0.5483870967741935,The wealthy author always points out that she wrote four novels before one was published,The wealthy author always points out that she wrote four novels before one was,0.40087246894836426,CWE,word2vec-google-news-300
70,mouse,BC,185,1.48,0.9285714285714286,The kitten waited patiently because behind the refrigerator was a mouse,The kitten waited patiently because behind the refrigerator was a,0.2931607663631439,CWE,word2vec-google-news-300
71,cold,BC,187,1.33,0.7931034482758621,Norton hates getting up on winter mornings because it is always cold,Norton hates getting up on winter mornings because it is always,0.4022606611251831,CWE,word2vec-google-news-300
72,soil,BC,190,1.09,0.8620689655172413,The fertilizer enriched the soil,The fertilizer enriched the,0.42453157901763916,CWE,word2vec-google-news-300
73,note,BC,193,1.09,0.6333333333333333,The young girl passed her friend a note,The young girl passed her friend a,0.11579116433858871,CWE,word2vec-google-news-300
74,perfect,BC,196,1.3,0.4827586206896552,He tinkered with the engine every weekend until it was absolutely perfect,He tinkered with the engine every weekend until it was absolutely,0.2227194458246231,CWE,word2vec-google-news-300
75,shore,BC,197,1.36,0.5625,"When Diane heard the shark warning, she swam as fast as she could for shore","When Diane heard the shark warning, she swam as fast as she could for",0.3516771197319031,CWE,word2vec-google-news-300
76,church,BC,198,1.42,0.7241379310344828,Michael could hear the bells ringing in the tower of the church,Michael could hear the bells ringing in the tower of the,0.25840020179748535,CWE,word2vec-google-news-300
77,dirty,BC,200,1.12,0.875,"When he got home from work on the construction site, his clothes were always dirty","When he got home from work on the construction site, his clothes were always",0.32140788435935974,CWE,word2vec-google-news-300
78,sun,BC,201,1.68,0.7666666666666667,Kevin propped his head up with a pillow as he basked in the hot sun,Kevin propped his head up with a pillow as he basked in the hot,0.3241446614265442,CWE,word2vec-google-news-300
79,price,BC,203,1.38,0.5357142857142857,He bought it without even asking the price,He bought it without even asking the,0.32020923495292664,CWE,word2vec-google-news-300
80,ready,BC,204,1.3,0.6206896551724138,"Barry has considered proposing to his girlfriend, but he wants to wait until he is ready","Barry has considered proposing to his girlfriend, but he wants to wait until he is",0.441795289516449,CWE,word2vec-google-news-300
81,car,BC,205,1.26,0.71875,John was disappointed to discover a scratch on his new car,John was disappointed to discover a scratch on his new,0.1399059146642685,CWE,word2vec-google-news-300
82,brain,BC,206,1.31,0.6666666666666666,He was afraid that doing drugs would damage his brain,He was afraid that doing drugs would damage his,0.22967934608459473,CWE,word2vec-google-news-300
83,married,BC,207,1.53,0.3448275862068966,"They've been living together for a long time, but don't think they're actually married","They've been living together for a long time, but don't think they're actually",0.332502156496048,CWE,word2vec-google-news-300
84,trouble,BC,208,1.32,0.65625,Dennis the Menance was known for making trouble,Dennis the Menance was known for making,0.11980567872524261,CWE,word2vec-google-news-300
85,cover,BC,211,1.03,0.65625,When the shooting started they ran for cover,When the shooting started they ran for,0.12255217880010605,CWE,word2vec-google-news-300
86,real,BC,212,1.59,0.4482758620689655,The federal agents examined the hundred dollar bill with a microscope to see if it was real,The federal agents examined the hundred dollar bill with a microscope to see if it was,0.20107828080654144,CWE,word2vec-google-news-300
87,simmer,BC,213,1.33,0.6551724137931034,Eva turned down the heat and left the sauce on the stove to simmer,Eva turned down the heat and left the sauce on the stove to,0.4627806544303894,CWE,word2vec-google-news-300
88,shadow,BC,215,1.31,0.8214285714285714,"Alone in the canyon, he was so spooked he was scared by his own shadow","Alone in the canyon, he was so spooked he was scared by his own",0.2981664538383484,CWE,word2vec-google-news-300
89,lie,BC,220,2.03,0.8571428571428571,Betsy could never tell a lie,Betsy could never tell a,0.37860649824142456,CWE,word2vec-google-news-300
90,room,BC,221,1.27,0.84375,The bad boy was sent to his room,The bad boy was sent to his,0.13197855651378632,CWE,word2vec-google-news-300
91,scars,BC,223,1.39,0.7241379310344828,"The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his scars","The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his",0.24409523606300354,CWE,word2vec-google-news-300
92,fear,BC,226,1.33,0.65625,"Trying to evade their captors, the escaped prisoners of war lived in constant fear","Trying to evade their captors, the escaped prisoners of war lived in constant",0.2937440574169159,CWE,word2vec-google-news-300
93,sharp,BC,228,1.11,0.6551724137931034,The tip of the knife was sharp,The tip of the knife was,0.25668567419052124,CWE,word2vec-google-news-300
94,stretch,BC,230,1.25,0.5,The little girl pulled on the rubber band to see how far it would stretch,The little girl pulled on the rubber band to see how far it would,0.3265654444694519,CWE,word2vec-google-news-300
95,enemy,BC,232,1.24,0.34375,The soldiers had special night vision goggles so they could see the enemy,The soldiers had special night vision goggles so they could see the,0.31745731830596924,CWE,word2vec-google-news-300
96,poor,BC,233,1.09,0.9,George was born into a wealthy family and has no idea what it's like to be poor,George was born into a wealthy family and has no idea what it's like to be,0.2617799639701843,CWE,word2vec-google-news-300
97,cave,BC,237,1.71,0.7586206896551724,"Looking for bats, Karen descended into the depths of the cave","Looking for bats, Karen descended into the depths of the",0.3771628439426422,CWE,word2vec-google-news-300
98,antenna,BC,239,1.44,0.6071428571428571,We finally got a decent picture on the TV after an hour of adjusting the antenna,We finally got a decent picture on the TV after an hour of adjusting the,0.19755399227142334,CWE,word2vec-google-news-300
99,stock,BC,240,1.12,0.7241379310344828,It took a week to get his car fixed because the parts were out of stock,It took a week to get his car fixed because the parts were out of,0.22811001539230347,CWE,word2vec-google-news-300
100,party,BC,242,1.16,0.875,The dispute was settled by a third party,The dispute was settled by a third,0.13078254461288452,CWE,word2vec-google-news-300
101,soon,BC,244,1.24,0.8333333333333334,Our guests should be arriving soon,Our guests should be arriving,0.13993585109710693,CWE,word2vec-google-news-300
102,oven,BC,245,1.3,0.896551724137931,The dough was put in the hot oven,The dough was put in the hot,0.4528222978115082,CWE,word2vec-google-news-300
103,short,BC,250,1.03,0.5625,Andrew was glad that the meeting was very short,Andrew was glad that the meeting was very,0.12777145206928253,CWE,word2vec-google-news-300
104,bus,BC,252,2.07,0.9,"When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour bus","When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour",0.30033132433891296,CWE,word2vec-google-news-300
105,shore,BC,254,1.78,0.9,Most shark attacks occur very close to shore,Most shark attacks occur very close to,0.27335575222969055,CWE,word2vec-google-news-300
106,deal,BC,255,1.3,0.8620689655172413,He didn't have to spend much money on the car because he found an incredible deal,He didn't have to spend much money on the car because he found an incredible,0.2481907159090042,CWE,word2vec-google-news-300
107,school,BC,256,1.0,0.875,The wealthy child went to a private school,The wealthy child went to a private,0.33523234724998474,CWE,word2vec-google-news-300
108,lights,BC,260,1.0,0.65625,"When you go to bed, turn off the lights","When you go to bed, turn off the",0.28561076521873474,CWE,word2vec-google-news-300
109,leash,BC,261,1.18,0.90625,George must keep his pet on a leash,George must keep his pet on a,0.40166595578193665,CWE,word2vec-google-news-300
110,piles,BC,263,1.36,0.7241379310344828,"He didn't have time to file everything on his desk, so he organized it into two piles","He didn't have time to file everything on his desk, so he organized it into two",0.2641966938972473,CWE,word2vec-google-news-300
111,speak,BC,265,1.25,0.8571428571428571,The whole town came to hear their mayor speak,The whole town came to hear their mayor,0.30525723099708557,CWE,word2vec-google-news-300
112,arm,BC,273,1.16,0.9642857142857144,Josie found she could not bend the elbow of her broken arm,Josie found she could not bend the elbow of her broken,0.4366682767868042,CWE,word2vec-google-news-300
113,wrong,BC,275,1.18,0.6428571428571429,It's hard to admit when one is wrong,It's hard to admit when one is,0.3023669719696045,CWE,word2vec-google-news-300
114,said,BC,276,1.36,0.8666666666666667,Vic asked her to repeat what she had said,Vic asked her to repeat what she had,0.40074852108955383,CWE,word2vec-google-news-300
115,palace,BC,281,1.39,0.8275862068965517,When they were in London they visited Buckingham palace,When they were in London they visited Buckingham,0.19175082445144653,CWE,word2vec-google-news-300
116,mission,BC,282,1.54,0.8620689655172413,The agent was sent to South America on a secret mission,The agent was sent to South America on a secret,0.14175301790237427,CWE,word2vec-google-news-300
117,air,BC,283,1.55,0.9310344827586208,Sam knew that rain was coming because he could smell it in the air,Sam knew that rain was coming because he could smell it in the,0.23714180290699005,CWE,word2vec-google-news-300
118,raise,BC,286,1.03,0.9333333333333332,His boss refused to give him a raise,His boss refused to give him a,0.21036960184574127,CWE,word2vec-google-news-300
119,sleep,BC,287,1.07,0.9642857142857144,She flew in late last night and really didn't get much sleep,She flew in late last night and really didn't get much,0.25684821605682373,CWE,word2vec-google-news-300
120,search,BC,288,1.41,0.8620689655172413,"After a week, they gave up on the missing hikers and called off the search","After a week, they gave up on the missing hikers and called off the",0.27587366104125977,CWE,word2vec-google-news-300
121,bonus,Rel,1,2.78,0.0,"Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major bonus","Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major",0.22112423181533813,CWE,word2vec-google-news-300
122,sofa,Rel,8,1.25,0.03125,The cigar burned a hole in the sofa,The cigar burned a hole in the,0.19296495616436005,CWE,word2vec-google-news-300
123,effort,Rel,11,1.39,0.0,"His first film was a failure, but he learned some techniques in that first effort","His first film was a failure, but he learned some techniques in that first",0.25169339776039124,CWE,word2vec-google-news-300
124,image,Rel,17,1.71,0.0,He was hired for the job because of his fresh new image,He was hired for the job because of his fresh new,0.11494496464729309,CWE,word2vec-google-news-300
125,press,Rel,18,2.04,0.0344827586206896,The journal issue that has the new article about diseases of the eye is still in press,The journal issue that has the new article about diseases of the eye is still in,0.1428341418504715,CWE,word2vec-google-news-300
126,dance,Rel,22,1.0,0.0,Every spring they held the annual dance,Every spring they held the annual,0.10896401107311249,CWE,word2vec-google-news-300
127,tires,Rel,23,1.96,0.0625,"Penelope started to assemble her new bicycle, but was missing the tires","Penelope started to assemble her new bicycle, but was missing the",0.20059750974178314,CWE,word2vec-google-news-300
128,ownership,Rel,24,1.15,0.0,The restaurant will reopen with new ownership,The restaurant will reopen with new,0.15904836356639862,CWE,word2vec-google-news-300
129,insects,Rel,28,1.39,0.0,Jennifer disliked walking under the trees at the edge of the park because they were always full of insects,Jennifer disliked walking under the trees at the edge of the park because they were always full of,0.32007578015327454,CWE,word2vec-google-news-300
130,attractive,Rel,36,1.48,0.0,"The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or attractive","The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or",0.3177465796470642,CWE,word2vec-google-news-300
131,ink,Rel,37,1.79,0.0344827586206896,I don't know why people like to see their initials in ink,I don't know why people like to see their initials in,0.21364682912826538,CWE,word2vec-google-news-300
132,unique,Rel,38,1.63,0.0,The gem cutter examined the ruby very closely before cutting because he knew that one this large was very unique,The gem cutter examined the ruby very closely before cutting because he knew that one this large was very,0.25958043336868286,CWE,word2vec-google-news-300
133,shrine,Rel,39,1.79,0.0,They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's shrine,They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's,0.3643324375152588,CWE,word2vec-google-news-300
134,military,Rel,40,1.52,0.0,He took a job training dogs for the military,He took a job training dogs for the,0.1742176115512848,CWE,word2vec-google-news-300
135,choir,Rel,41,1.32,0.0,The conductor gave detailed instructions to the choir,The conductor gave detailed instructions to the,0.24530725181102753,CWE,word2vec-google-news-300
136,poker,Rel,45,1.3,0.09375,"Down in the basement, Steve and Robert were playing poker","Down in the basement, Steve and Robert were playing",0.2160944640636444,CWE,word2vec-google-news-300
137,business,Rel,47,1.15,0.0,"After the most recent price increase, the small business owner decided to order his office supplies from another business","After the most recent price increase, the small business owner decided to order his office supplies from another",0.578724205493927,CWE,word2vec-google-news-300
138,puppy,Rel,48,1.06,0.09375,Sharon was sad that she had lost her puppy,Sharon was sad that she had lost her,0.15818338096141815,CWE,word2vec-google-news-300
139,fighting,Rel,50,2.81,0.0689655172413793,"All of armed services will admit women, but females are barred from fighting","All of armed services will admit women, but females are barred from",0.19945040345191956,CWE,word2vec-google-news-300
140,affordable,Rel,51,1.19,0.1034482758620689,"After the divorce, she had to move out of the expensive house to an apartment that was affordable","After the divorce, she had to move out of the expensive house to an apartment that was",0.337169349193573,CWE,word2vec-google-news-300
141,values,Rel,52,1.75,0.0689655172413793,"His tactics usually turned out to be beneficial for the business, but they often came in conflict with his values","His tactics usually turned out to be beneficial for the business, but they often came in conflict with his",0.18665699660778046,CWE,word2vec-google-news-300
142,humorous,Rel,53,1.25,0.0,"Some of his jokes were crummy, but those one-liners were humorous","Some of his jokes were crummy, but those one-liners were",0.4660703241825104,CWE,word2vec-google-news-300
143,cafe,Rel,60,1.47,0.0,The inspector from the health department found a roach in a very expensive cafe,The inspector from the health department found a roach in a very expensive,0.20369847118854523,CWE,word2vec-google-news-300
144,convict,Rel,61,1.3,0.0357142857142857,The conductor had no idea that the train had been boarded by a known convict,The conductor had no idea that the train had been boarded by a known,0.1499776542186737,CWE,word2vec-google-news-300
145,pills,Rel,64,1.52,0.0625,The nurse brought him a glass of juice and his pills,The nurse brought him a glass of juice and his,0.3590524196624756,CWE,word2vec-google-news-300
146,classes,Rel,65,1.5,0.0,The teacher was not looking forward to another year of classes,The teacher was not looking forward to another year of,0.27312007546424866,CWE,word2vec-google-news-300
147,month,Rel,67,2.46,0.0,Steve skipped his annual checkup for another month,Steve skipped his annual checkup for another,0.3893333971500397,CWE,word2vec-google-news-300
148,ambiguous,Rel,72,1.3,0.0689655172413793,"The candidate wanted to please everyone without making any commitments, so his speech was deliberately ambiguous","The candidate wanted to please everyone without making any commitments, so his speech was deliberately",0.2571049928665161,CWE,word2vec-google-news-300
149,roses,Rel,74,1.24,0.0,She poured water on the roses,She poured water on the,0.18547482788562775,CWE,word2vec-google-news-300
150,contemporary,Rel,81,1.06,0.0333333333333333,"Mark liked the older houses, but Susan wanted to buy one that was new and contemporary","Mark liked the older houses, but Susan wanted to buy one that was new and",0.23253458738327026,CWE,word2vec-google-news-300
151,physician,Rel,82,1.64,0.0,"In an old sitcom, he was the wise family physician","In an old sitcom, he was the wise family",0.1845637410879135,CWE,word2vec-google-news-300
152,screened,Rel,83,1.43,0.0,"The government controlled the news media, so most of the reports from the war zone were screened","The government controlled the news media, so most of the reports from the war zone were",0.093797966837883,CWE,word2vec-google-news-300
153,trophy,Rel,84,1.35,0.03125,"Grinning wherever he went, it was easy to tell that Carl was proud of his new gold trophy","Grinning wherever he went, it was easy to tell that Carl was proud of his new gold",0.2995341122150421,CWE,word2vec-google-news-300
