"","target","Condition","ContextCode","PlausibilityJudgement","Cloze","Sentence","context","lp_pythia","s_lp"
"350","hospital","Unrel",256,1.18,0,"The wealthy child went to a private hospital","The wealthy child went to a private",-3.4201340675354,1.28434402208352
"351","stereo","Unrel",260,1.5,0,"When you go to bed, turn off the stereo","When you go to bed, turn off the",-7.00671052932739,0.26897341889837
"352","diet","Unrel",261,1.78,0,"George must keep his pet on a diet","George must keep his pet on a",-5.6113748550415,0.663997152628429
"353","boxes","Unrel",263,1.09,0,"He didn't have time to file everything on his desk, so he organized it into two boxes","He didn't have time to file everything on his desk, so he organized it into two",-5.01576900482178,0.832614963468588
"354","resign","Unrel",265,1.41,0,"The whole town came to hear their mayor resign","The whole town came to hear their mayor",-7.5949821472168,0.102431951329984
"355","doll","Unrel",273,1.63,0,"Josie found she could not bend the elbow of her broken doll","Josie found she could not bend the elbow of her broken",-9.79745483398438,-0.521094702649296
"356","lonely","Unrel",275,1.33,0,"It's hard to admit when one is lonely","It's hard to admit when one is",-8.6386604309082,-0.193036515530333
"357","heard","Unrel",276,1.54,0.0333333333333333,"Vic asked her to repeat what she had heard","Vic asked her to repeat what she had",-3.46971964836121,1.27030619474351
"358","twice","Unrel",281,1.32,0,"When they were in London they visited Buckingham twice","When they were in London they visited Buckingham",-8.64498901367188,-0.194828156379626
"359","jet","Unrel",282,1.33,0,"The agent was sent to South America on a secret jet","The agent was sent to South America on a secret",-9.29012012481689,-0.377466717814208
"360","morning","Unrel",283,1.91,0,"Sam knew that rain was coming because he could smell it in the morning","Sam knew that rain was coming because he could smell it in the",-4.07447957992554,1.09909683589218
"361","vacation","Unrel",286,1.59,0,"His boss refused to give him a vacation","His boss refused to give him a",-8.52630805969238,-0.161229220705873
"362","dinner","Unrel",287,1.42,0,"She flew in late last night and really didn't get much dinner","She flew in late last night and really didn't get much",-9.07905578613281,-0.317713767566647
"363","helicopters","Unrel",288,1.37,0,"After a week, they gave up on the missing hikers and called off the helicopters","After a week, they gave up on the missing hikers and called off the",-10.0114459991455,-0.581676246291444
"364","pillow","Implaus",1,4.39,0,"Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major pillow","Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major",-12.9402294158936,-1.41082365640306
"365","chaos","Implaus",8,4.18,0,"The cigar burned a hole in the chaos","The cigar burned a hole in the",-11.7769184112549,-1.08148680577261
"366","umbrella","Implaus",11,4.5,0,"His first film was a failure, but he learned some techniques in that first umbrella","His first film was a failure, but he learned some techniques in that first",-15.0610103607178,-2.01122313208964
"367","autumn","Implaus",17,4.66,0,"He was hired for the job because of his fresh new autumn","He was hired for the job because of his fresh new",-14.9141416549683,-1.96964415895619
"368","treason","Implaus",18,4.55,0,"The journal issue that has the new article about diseases of the eye is still in treason","The journal issue that has the new article about diseases of the eye is still in",-15.4499711990356,-2.12133911741033
"369","disorder","Implaus",22,4.37,0,"Every spring they held the annual disorder","Every spring they held the annual",-12.9277210235596,-1.40728249284379
"370","king","Implaus",23,4.46,0,"Penelope started to assemble her new bicycle, but was missing the king","Penelope started to assemble her new bicycle, but was missing the",-9.24193000793457,-0.363823950521322
"371","treason","Implaus",24,4.63,0,"The restaurant will reopen with new treason","The restaurant will reopen with new",-17.7437076568604,-2.77070281996627
"372","weekends","Implaus",28,4.82,0,"Jennifer disliked walking under the trees at the edge of the park because they were always full of weekends","Jennifer disliked walking under the trees at the edge of the park because they were always full of",-11.6773948669434,-1.05331139049979
"373","allergic","Implaus",36,4.21,0,"The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or allergic","The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or",-11.4889554977417,-0.999963637284869
"374","dusk","Implaus",37,4.11,0,"I don't know why people like to see their initials in dusk","I don't know why people like to see their initials in",-13.7173185348511,-1.63081992745713
"375","disqualified","Implaus",38,3.94,0,"The gem cutter examined the ruby very closely before cutting because he knew that one this large was very disqualified","The gem cutter examined the ruby very closely before cutting because he knew that one this large was very",-14.648624420166,-1.89447542974346
"376","bicycle","Implaus",39,4.04,0,"They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's bicycle","They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's",-13.4333505630493,-1.5504277390052
"377","blankets","Implaus",40,4.26,0,"He took a job training dogs for the blankets","He took a job training dogs for the",-14.2312812805176,-1.77632432939628
"378","dishes","Implaus",41,4.91,0,"The conductor gave detailed instructions to the dishes","The conductor gave detailed instructions to the",-12.7744903564453,-1.36390242927851
"379","banners","Implaus",45,3.91,0,"Down in the basement, Steve and Robert were playing banners","Down in the basement, Steve and Robert were playing",-12.5910882949829,-1.31198075306269
"380","gown","Implaus",47,4.29,0,"After the most recent price increase, the small business owner decided to order his office supplies from another gown","After the most recent price increase, the small business owner decided to order his office supplies from another",-13.6184053421021,-1.60281730455072
"381","takeoff","Implaus",48,4.53,0,"Sharon was sad that she had lost her takeoff","Sharon was sad that she had lost her",-19.526650428772,-3.27545929094807
"382","metal","Implaus",50,4.3,0,"All of armed services will admit women, but females are barred from metal","All of armed services will admit women, but females are barred from",-13.0893096923828,-1.4530287318767
"383","fired","Implaus",51,4.63,0,"After the divorce, she had to move out of the expensive house to an apartment that was fired","After the divorce, she had to move out of the expensive house to an apartment that was",-11.9685373306274,-1.13573469922134
"384","ditch","Implaus",52,4.67,0,"His tactics usually turned out to be beneficial for the business, but they often came in conflict with his ditch","His tactics usually turned out to be beneficial for the business, but they often came in conflict with his",-15.317497253418,-2.08383534424361
"385","torn","Implaus",53,4.21,0,"Some of his jokes were crummy, but those one-liners were torn","Some of his jokes were crummy, but those one-liners were",-9.84620952606201,-0.534897302881118
"386","speech","Implaus",60,4.64,0,"The inspector from the health department found a roach in a very expensive speech","The inspector from the health department found a roach in a very expensive",-13.0850801467896,-1.45183133477504
"387","bottle","Implaus",61,4.5,0,"The conductor had no idea that the train had been boarded by a known bottle","The conductor had no idea that the train had been boarded by a known",-10.1539268493652,-0.622013004303193
"388","taxis","Implaus",64,4.55,0,"The nurse brought him a glass of juice and his taxis","The nurse brought him a glass of juice and his",-14.1922590732574,-1.76527702494162
"389","cargo","Implaus",65,3.97,0,"The teacher was not looking forward to another year of cargo","The teacher was not looking forward to another year of",-12.8308782577515,-1.37986601404285
"390","forest","Implaus",67,4.33,0,"Steve skipped his annual checkup for another forest","Steve skipped his annual checkup for another",-11.8931179046631,-1.11438323248165
"391","endangered","Implaus",72,4.13,0,"The candidate wanted to please everyone without making any commitments, so his speech was deliberately endangered","The candidate wanted to please everyone without making any commitments, so his speech was deliberately",-10.5327835083008,-0.729268465995454
"392","takeoff","Implaus",74,3.74,0,"She poured water on the takeoff","She poured water on the",-16.1633033752441,-2.32328560586364
"393","embarrassed","Implaus",81,4.54,0,"Mark liked the older houses, but Susan wanted to buy one that was new and embarrassed","Mark liked the older houses, but Susan wanted to buy one that was new and",-12.6714677810669,-1.33473642776759
"394","highway","Implaus",82,4.65,0,"In an old sitcom, he was the wise family highway","In an old sitcom, he was the wise family",-13.7893180847168,-1.65120321696873
"395","hungry","Implaus",83,4.58,0,"The government controlled the news media, so most of the reports from the war zone were hungry","The government controlled the news media, so most of the reports from the war zone were",-14.2770090103149,-1.7892699874859
"396","pedestrians","Implaus",84,4.63,0,"Grinning wherever he went, it was easy to tell that Carl was proud of his new gold pedestrians","Grinning wherever he went, it was easy to tell that Carl was proud of his new gold",-17.1056785583496,-2.5900748597078
"397","gown","Implaus",85,4.79,0,"During the summer, the children hung out at the gown","During the summer, the children hung out at the",-11.9001064300537,-1.11636170507713
"398","chilly","Implaus",86,4.74,0,"The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be chilly","The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be",-18.5126056671143,-2.9883801634654
"399","cement","Implaus",88,4.44,0,"The little girl kept a lock on her cement","The little girl kept a lock on her",-12.0123434066772,-1.14813633134481
"400","arena","Implaus",89,3.91,0,"Flying low above her, Bernice could hear the arena","Flying low above her, Bernice could hear the",-12.9259738922119,-1.40678787469492
"401","cure","Implaus",97,4.66,0,"Perry heard a grinding noise coming from his cure","Perry heard a grinding noise coming from his",-14.3549213409424,-1.81132720304718
"402","water","Implaus",98,4.5,0,"If Jim's manager is incompetent, he has a legitimate right to water","If Jim's manager is incompetent, he has a legitimate right to",-10.7822427749634,-0.799891136042971
"403","business","Implaus",101,3.77,0,"In the best part of the movie, the hero has to impersonate the business","In the best part of the movie, the hero has to impersonate the",-9.83134365081787,-0.53068872880656
"404","sound","Implaus",103,4.63,0,"The princess wore a sound","The princess wore a",-10.9095573425293,-0.835934273737315
"405","diamond","Implaus",106,4.5,0,"Jason was disappointed when the other scouts scared off the elk by loudly beating the diamond","Jason was disappointed when the other scouts scared off the elk by loudly beating the",-11.0986499786377,-0.889466968781916
"406","young","Implaus",107,4.27,0,"After the flood, the house smelled of mildew and everything in it was young","After the flood, the house smelled of mildew and everything in it was",-7.3988208770752,0.157965797968159
"407","temper","Implaus",109,3.17,0,"Everyone on the scene gathered around to look at the temper","Everyone on the scene gathered around to look at the",-12.7620010375977,-1.36036666548069
"408","bugs","Implaus",115,4.85,0,"The final score of the game was bugs","The final score of the game was",-15.2688636779785,-2.070067032497
"409","affordable","Implaus",117,4.58,0,"After swimming the English Channel, Bonita was cold and completely affordable","After swimming the English Channel, Bonita was cold and completely",-14.650857925415,-1.89510774180932
"410","music","Implaus",120,4.45,0,"She had the data to back up everything she said, so the hostile questions did not shake her music","She had the data to back up everything she said, so the hostile questions did not shake her",-12.82115650177,-1.3771137556315
"411","porch","Implaus",125,4.52,0,"The new dress was very pretty, but it was cut from an unusual porch","The new dress was very pretty, but it was cut from an unusual",-13.2017889022827,-1.48487193511481
"412","attend","Implaus",128,4.18,0,"When the little girl saw the big dog lumbering towards her, she began to attend","When the little girl saw the big dog lumbering towards her, she began to",-10.3068141937256,-0.665295872162361
"413","mistakes","Implaus",132,4.5,0,"From her house a half mile away, Diana could still hear the loud cheers coming from the mistakes","From her house a half mile away, Diana could still hear the loud cheers coming from the",-15.795693397522,-2.2192141135107
"414","eyes","Implaus",133,4.47,0,"Five ships did not survive the eyes","Five ships did not survive the",-9.24515724182129,-0.364737590158755
"415","rest","Implaus",135,3.86,0,"The paramedics on the scene helped the passengers after the big car rest","The paramedics on the scene helped the passengers after the big car",-10.7533884048462,-0.79172237692058
"416","fortune","Implaus",136,4.36,0,"The pilot spoke to an air traffic controller just before the fortune","The pilot spoke to an air traffic controller just before the",-16.6557559967041,-2.46270042682694
"417","end","Implaus",140,4.07,0,"The boy scouts started a long hike through the forest after having a big end","The boy scouts started a long hike through the forest after having a big",-8.64948463439941,-0.19610088015352
"418","plants","Implaus",143,4.13,0,"When traveling, Roger prefers to stick to major plants","When traveling, Roger prefers to stick to major",-9.82454872131348,-0.528765063789802
"419","horse","Implaus",147,4.54,0,"While hemming a pair of pants, Bridget accidentally dropped her horse","While hemming a pair of pants, Bridget accidentally dropped her",-10.4296875,-0.700081675402945
"420","contrast","Implaus",148,3.96,0,"The rangers say that somewhere in the state park is a contrast","The rangers say that somewhere in the state park is a",-11.7090110778809,-1.06226203508022
"421","safety","Implaus",153,4.44,0,"The doctor told him his headaches were due to safety","The doctor told him his headaches were due to",-10.768705368042,-0.796058655353443
"422","jokes","Implaus",156,3.78,0,"The groups in the parade walked by slowly, each waving their jokes","The groups in the parade walked by slowly, each waving their",-10.9207754135132,-0.839110143434455
"423","joke","Implaus",158,3.59,0,"The little girl was very sick, but unfortunately there was no joke","The little girl was very sick, but unfortunately there was no",-10.3804740905762,-0.686149210908237
"424","doll","Implaus",161,4.63,0,"The meteor shower should have been spectacular, but the city lights blocked the doll","The meteor shower should have been spectacular, but the city lights blocked the",-14.448468208313,-1.83781060306947
"425","camp","Implaus",162,4.79,0,"She was unsure how the book would camp","She was unsure how the book would",-13.9698162078857,-1.70230277950371
"426","hiding","Implaus",166,4.25,0,"He was desperate for a job, so finally took something doing door to door hiding","He was desperate for a job, so finally took something doing door to door",-7.62446022033691,0.0940866200081604
"427","pedestrians","Implaus",168,3.29,0,"The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical pedestrians","The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical",-16.9094696044922,-2.534527513666
"428","bullets","Implaus",169,4.64,0,"Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were bullets","Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were",-11.8920135498047,-1.11407058629366
"429","texture","Implaus",172,3.37,0,"In the window, they posted the hours they were open for texture","In the window, they posted the hours they were open for",-13.1727743148804,-1.47665781799623
"430","hard","Implaus",173,4.53,0,"They sent the kids with measles home from school because they were hard","They sent the kids with measles home from school because they were",-7.74366283416748,0.0603400008587349
"431","chapel","Implaus",174,3.88,0,"Outside, Cora could hear the running chapel","Outside, Cora could hear the running",-12.5584554672241,-1.30274230119694
"432","reputation","Implaus",177,4.07,0,"At night they often took a short reputation","At night they often took a short",-14.8154020309448,-1.94169067387899
"433","hungry","Implaus",182,4.18,0,"The wealthy author always points out that she wrote four novels before one was hungry","The wealthy author always points out that she wrote four novels before one was",-12.4870414733887,-1.28252478436187
"434","savior","Implaus",185,4.09,0,"The kitten waited patiently because behind the refrigerator was a savior","The kitten waited patiently because behind the refrigerator was a",-12.8407328128815,-1.38265586829329
"435","broken","Implaus",187,4.44,0,"Norton hates getting up on winter mornings because it is always broken","Norton hates getting up on winter mornings because it is always",-8.90742206573486,-0.269123744165806
"436","legs","Implaus",190,4.61,0,"The fertilizer enriched the legs","The fertilizer enriched the",-11.5207757949829,-1.00897205931282
"437","mechanic","Implaus",193,4.04,0,"The young girl passed her friend a mechanic","The young girl passed her friend a",-12.8012742996216,-1.37148504429545
"438","forgiven","Implaus",196,4.69,0,"He tinkered with the engine every weekend until it was absolutely forgiven","He tinkered with the engine every weekend until it was absolutely",-13.3964347839355,-1.53997677070574
"439","relaxing","Implaus",197,4.46,0,"When Diane heard the shark warning, she swam as fast as she could for relaxing","When Diane heard the shark warning, she swam as fast as she could for",-11.6812734603882,-1.05440943199076
"440","deer","Implaus",198,4.33,0,"Michael could hear the bells ringing in the tower of the deer","Michael could hear the bells ringing in the tower of the",-12.5390214920044,-1.29724048425498
"441","sick","Implaus",200,4.48,0,"When he got home from work on the construction site, his clothes were always sick","When he got home from work on the construction site, his clothes were always",-10.8992042541504,-0.833003283221957
"442","size","Implaus",201,4.76,0,"Kevin propped his head up with a pillow as he basked in the hot size","Kevin propped his head up with a pillow as he basked in the hot",-17.7748336791992,-2.77951469067742
"443","helicopters","Implaus",203,4.75,0,"He bought it without even asking the helicopters","He bought it without even asking the",-14.5829038619995,-1.87586974170137
"444","flooded","Implaus",204,4.31,0,"Barry has considered proposing to his girlfriend, but he wants to wait until he is flooded","Barry has considered proposing to his girlfriend, but he wants to wait until he is",-11.9205026626587,-1.12213593998427
"445","taxes","Implaus",205,3.96,0,"John was disappointed to discover a scratch on his new taxes","John was disappointed to discover a scratch on his new",-11.9307880401611,-1.12504776134648
"446","fever","Implaus",206,3.64,0,"He was afraid that doing drugs would damage his fever","He was afraid that doing drugs would damage his",-13.5312385559082,-1.57814012473364
"447","people","Implaus",207,4.26,0,"They've been living together for a long time, but don't think they're actually people","They've been living together for a long time, but don't think they're actually",-5.67949199676514,0.644712984560083
"448","apples","Implaus",208,3.97,0,"Dennis the Menance was known for making apples","Dennis the Menance was known for making",-11.1286525726318,-0.89796079354363
"449","convenience","Implaus",211,3.93,0,"When the shooting started they ran for convenience","When the shooting started they ran for",-12.9230585098267,-1.40596252115721
"450","quiet","Implaus",212,4.33,0,"The federal agents examined the hundred dollar bill with a microscope to see if it was quiet","The federal agents examined the hundred dollar bill with a microscope to see if it was",-10.2537870407104,-0.650283725365616
"451","state","Implaus",213,4.32,0,"Eva turned down the heat and left the sauce on the stove to state","Eva turned down the heat and left the sauce on the stove to",-10.6875514984131,-0.773083750333646
"452","hospital","Implaus",215,4.76,0,"Alone in the canyon, he was so spooked he was scared by his own hospital","Alone in the canyon, he was so spooked he was scared by his own",-9.92335033416748,-0.55673609809172
"453","ditch","Implaus",220,4.19,0,"Betsy could never tell a ditch","Betsy could never tell a",-12.5258989334106,-1.293525448377
"454","dusk","Implaus",221,4.73,0,"The bad boy was sent to his dusk","The bad boy was sent to his",-15.5739307403564,-2.15643243706552
"455","boxes","Implaus",223,4.25,0,"The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his boxes","The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his",-11.3987092971802,-0.974414665981595
"456","size","Implaus",226,4.33,0,"Trying to evade their captors, the escaped prisoners of war lived in constant size","Trying to evade their captors, the escaped prisoners of war lived in constant",-12.8035306930542,-1.37212383607505
"457","chatting","Implaus",228,4.68,0,"The tip of the knife was chatting","The tip of the knife was",-15.1159257888794,-2.02676985526999
"458","yell","Implaus",230,4.43,0,"The little girl pulled on the rubber band to see how far it would yell","The little girl pulled on the rubber band to see how far it would",-13.8181858062744,-1.65937575592414
"459","temper","Implaus",232,4.22,0,"The soldiers had special night vision goggles so they could see the temper","The soldiers had special night vision goggles so they could see the",-11.7080898284912,-1.06200122660216
"460","pointed","Implaus",233,4.15,0,"George was born into a wealthy family and has no idea what it's like to be pointed","George was born into a wealthy family and has no idea what it's like to be",-12.3108253479004,-1.23263746827253
"461","doll","Implaus",237,4.32,0,"Looking for bats, Karen descended into the depths of the doll","Looking for bats, Karen descended into the depths of the",-12.809061050415,-1.37368949690764
"462","ceremonies","Implaus",239,4.34,0,"We finally got a decent picture on the TV after an hour of adjusting the ceremonies","We finally got a decent picture on the TV after an hour of adjusting the",-12.4310741424561,-1.26668026433752
"463","bread","Implaus",240,4.86,0,"It took a week to get his car fixed because the parts were out of bread","It took a week to get his car fixed because the parts were out of",-11.1033535003662,-0.890798549955621
"464","lifestyle","Implaus",242,4.07,0,"The dispute was settled by a third lifestyle","The dispute was settled by a third",-16.8682956695557,-2.5228710486227
"465","disabled","Implaus",244,3.89,0,"Our guests should be arriving disabled","Our guests should be arriving",-12.5781211853027,-1.30830972524053
"466","project","Implaus",245,4.21,0,"The dough was put in the hot project","The dough was put in the hot",-11.6273918151855,-1.03915537588103
"467","pale","Implaus",250,4.48,0,"Andrew was glad that the meeting was very pale","Andrew was glad that the meeting was very",-9.82719707489014,-0.529514820667211
"468","puppy","Implaus",252,4.8,0,"When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour puppy","When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour",-12.690746307373,-1.34019423665373
"469","ideas","Implaus",254,4.94,0,"Most shark attacks occur very close to ideas","Most shark attacks occur very close to",-13.9769878387451,-1.70433308980912
"470","stream","Implaus",255,4.41,0,"He didn't have to spend much money on the car because he found an incredible stream","He didn't have to spend much money on the car because he found an incredible",-9.30283355712891,-0.381065928809071
"471","material","Implaus",256,4.52,0,"The wealthy child went to a private material","The wealthy child went to a private",-12.9582195281982,-1.41591671140322
"472","stores","Implaus",260,4.7,0,"When you go to bed, turn off the stores","When you go to bed, turn off the",-11.8200654983521,-1.09370187613797
"473","meeting","Implaus",261,4.56,0,"George must keep his pet on a meeting","George must keep his pet on a",-7.4893045425415,0.132349599634825
"474","cartoons","Implaus",263,3.85,0,"He didn't have time to file everything on his desk, so he organized it into two cartoons","He didn't have time to file everything on his desk, so he organized it into two",-7.6607294678688,0.0838186867476138
"475","scratch","Implaus",265,4.29,0,"The whole town came to hear their mayor scratch","The whole town came to hear their mayor",-12.4388542175293,-1.2688828270332
"476","absence","Implaus",273,4.68,0,"Josie found she could not bend the elbow of her broken absence","Josie found she could not bend the elbow of her broken",-15.3835144042969,-2.10252499857625
"477","screened","Implaus",275,3.52,0,"It's hard to admit when one is screened","It's hard to admit when one is",-12.4938850402832,-1.28446221877032
"478","vanished","Implaus",276,4.47,0,"Vic asked her to repeat what she had vanished","Vic asked her to repeat what she had",-12.4820489883423,-1.28111139680218
"479","bait","Implaus",281,3.63,0,"When they were in London they visited Buckingham bait","When they were in London they visited Buckingham",-15.8312683105469,-2.22928547858019
"480","cow","Implaus",282,4.42,0,"The agent was sent to South America on a secret cow","The agent was sent to South America on a secret",-13.4908037185669,-1.56669290044655
"481","robbery","Implaus",283,4.35,0,"Sam knew that rain was coming because he could smell it in the robbery","Sam knew that rain was coming because he could smell it in the",-15.1535816192627,-2.03743033431374
"482","cliff","Implaus",286,4.32,0,"His boss refused to give him a cliff","His boss refused to give him a",-11.8782367706299,-1.11017033859793
"483","music","Implaus",287,4,0,"She flew in late last night and really didn't get much music","She flew in late last night and really didn't get much",-8.41938781738281,-0.130959777942528
"484","boss","Implaus",288,3.97,0,"After a week, they gave up on the missing hikers and called off the boss","After a week, they gave up on the missing hikers and called off the",-9.18136787414551,-0.346678627963538
"485","stupid","Rel",3,1.74,0.0714285714285714,"The salesman made the mistake of talking down to Jane because he thought she was stupid","The salesman made the mistake of talking down to Jane because he thought she was",-6.43464279174805,0.430927519126442
"486","ceiling","Rel",10,1.52,0.0625,"Water was leaking out from the hole in the ceiling","Water was leaking out from the hole in the",-4.95699024200439,0.849255408330746
"487","coat","Rel",29,1.06,0.0666666666666666,"Rushing out, he forgot to take his coat","Rushing out, he forgot to take his",-5.15188312530518,0.794080645829033
"488","shack","Rel",70,1.78,0.0344827586206896,"At that time, the boys lived down by the river in a shack","At that time, the boys lived down by the river in a",-7.51874923706055,0.12401371789554
"489","dumb","BC",3,1.61,0.178571428571428,"The salesman made the mistake of talking down to Jane because he thought she was dumb","The salesman made the mistake of talking down to Jane because he thought she was",-6.86835861206055,0.308141263550111
"490","roof","BC",10,1.96,0.15625,"Water was leaking out from the hole in the roof","Water was leaking out from the hole in the",-5.02522754669189,0.82993722176526
"491","jacket","BC",29,1.19,0.1,"Rushing out, he forgot to take his jacket","Rushing out, he forgot to take his",-5.44778156280518,0.710310906589791
"492","hut","BC",70,1.7,0.137931034482759,"At that time, the boys lived down by the river in a hut","At that time, the boys lived down by the river in a",-4.86616134643555,0.874969342346334
"493","poor","Unrel",3,1.5,0.0357142857142857,"The salesman made the mistake of talking down to Jane because he thought she was poor","The salesman made the mistake of talking down to Jane because he thought she was",-8.30488204956055,-0.0985428500503006
"494","balloon","Unrel",10,1.45,0,"Water was leaking out from the hole in the balloon","Water was leaking out from the hole in the",-7.59578418731689,0.102204891360989
"495","umbrella","Unrel",29,1.21,0,"Rushing out, he forgot to take his umbrella","Rushing out, he forgot to take his",-6.72341632843018,0.349174860777053
"496","van","Unrel",70,1.63,0.103448275862069,"At that time, the boys lived down by the river in a van","At that time, the boys lived down by the river in a",-8.72297286987305,-0.216905621046342
"497","abstract","Implaus",3,3.34,0,"The salesman made the mistake of talking down to Jane because he thought she was abstract","The salesman made the mistake of talking down to Jane because he thought she was",-13.535228729248,-1.57926975482909
"498","reward","Implaus",10,4.61,0,"Water was leaking out from the hole in the reward","Water was leaking out from the hole in the",-12.3983964920044,-1.25742912303237
"499","country","Implaus",29,4.64,0,"Rushing out, he forgot to take his country","Rushing out, he forgot to take his",-10.0415315628052,-0.590193560015468
"500","letter","Implaus",70,4.74,0,"At that time, the boys lived down by the river in a letter","At that time, the boys lived down by the river in a",-7.78461837768555,0.0487453630840429
